Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result RCMT (Rubella)	PHVS_LabResultRCMT_Rubella	2.16.840.1.114222.4.11.4082	4	lab results associated with Rubella
	Published	06/14/2011	v4

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
5210005	Rubella virus (organism)	Rubella virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425872000	Rubella virus genotype 1a (organism)	Rubella virus genotype 1a		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425415004	Rubella virus genotype 1B (organism)	Rubella virus genotype 1B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427398000	Rubella virus genotype 1C (organism)	Rubella virus genotype 1C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427559006	Rubella virus genotype 1D (organism)	Rubella virus genotype 1D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426085007	Rubella virus genotype 1E (organism)	Rubella virus genotype 1E		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426367009	Rubella virus genotype 1F (organism)	Rubella virus genotype 1F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426209008	Rubella virus genotype 1g (organism)	Rubella virus genotype 1g		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698201004	Rubella virus genotype 1h (organism)	Rubella virus genotype 1h		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698202006	Rubella virus genotype 1i (organism)	Rubella virus genotype 1i		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698203001	Rubella virus genotype 1j (organism)	Rubella virus genotype 1j		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425891000	Rubella virus genotype 2A (organism)	Rubella virus genotype 2A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426612000	Rubella virus genotype 2B (organism)	Rubella virus genotype 2B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427329000	Rubella virus genotype 2c (organism)	Rubella virus genotype 2c		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
