Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Arbovirus)	PHVS_LabResult_Arbovirus	2.16.840.1.114222.4.11.4003	4	lab results associated with Arbovirus
	Published	06/14/2011	Initial Import for : 7BBF462C-C496-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
243617008	Bunyavirus serogroup California (organism)	Bunyavirus serogroup California		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64979004	California encephalitis virus (organism)	California encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243601002	Eastern equine encephalitis virus (organism)	Eastern equine encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9194001	Jamestown Canyon virus (organism)	Jamestown Canyon virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
61399004	Keystone virus (organism)	Keystone virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30434006	La Crosse virus (organism)	La Crosse virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45838003	Powassan virus (organism)	Powassan virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58432001	Saint Louis encephalitis virus (organism)	St. Louis encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28732002	Snowshoe hare virus (organism)	Snowshoe hare virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
87919008	Trivittatus virus (organism)	Trivittatus virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57311007	West Nile virus (organism)	West Nile virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11428003	Western equine encephalomyelitis virus (organism)	Western equine encephalomyelitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
