Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Bartonellosis)	PHVS_LabResult_Bartonellosis	2.16.840.1.114222.4.11.4006	5	lab results associated with Bartonellosis
	Published	07/19/2018	RCMT v13.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
243352007	Bartonella bacilliformis (organism)	Bartonella bacilliformis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114223009	Bartonella clarridgeiae (organism)	Bartonella clarridgeiae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103513003	Bartonella elizabethae (organism)	Bartonella elizabethae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103510000	Bartonella henselae (organism)	Bartonella henselae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103511001	Bartonella quintana (organism)	Bartonella quintana		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131413007	Bartonella species (organism)	Bartonella species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103512008	Bartonella vinsonii (organism)	Bartonella vinsonii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114228000	Bartonella vinsonii ss berkhoffii (organism)	Bartonella vinsonii ss berkhoffii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114229008	Bartonella vinsonii ss vinsonii (organism)	Bartonella vinsonii ss vinsonii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417657001	Bartonella vinsonii subsp. arupensis (organism)	Bartonella vinsonii subsp. arupensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62496009	Genus Bartonella (organism)	Bartonella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
