Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Cryptococcosis)	PHVS_LabResult_Cryptococcosis	2.16.840.1.114222.4.11.4021	6	lab results associated with Cryptococcosis
	Published	04/22/2019	Value set updated based on RCMT v14 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
17579001	Cryptococcus (organism)	Cryptococcus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
770378004	Cryptococcus ater (organism)	Cryptococcus ater		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450862004	Cryptococcus gattii (organism)	Cryptococcus gattii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
736946001	Cryptococcus gattii genotype VGI (organism)	Cryptococcus gattii genotype VGI		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
736945002	Cryptococcus gattii genotype VGIII (organism)	Cryptococcus gattii genotype VGIII		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
719059002	Cryptococcus gattii or Cryptococcus neoformans (finding)	Cryptococcus gattii or Cryptococcus neoformans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
67168003	Cryptococcus neoformans (organism)	Cryptococcus neoformans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243468002	Cryptococcus neoformans var neoformans (organism)	Cryptococcus neoformans var neoformans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415904003	Cryptococcus neoformans var. grubii (organism)	Cryptococcus neoformans serotype A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
763168008	Cryptococcus neoformans variant grubii and Cryptococcus neoformans variant neoformans hybrid (organism)	Cryptococcus neoformans serotype A/D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
736944003	Cryptococcus neoformans variant grubii genotype VNI (organism)	Cryptococcus neoformans var. grubii genotype VNI		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
736943009	Cryptococcus neoformans variant grubii genotype VNII (organism)	Cryptococcus neoformans var. grubii genotype VNII		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
736942004	Cryptococcus neoformans variant neoformans genotype VNIV (organism)	Cryptococcus neoformans var. neoformans genotype VNIV		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
