Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Cryptosporidiosis)	PHVS_LabResult_Cryptosporidiosis	2.16.840.1.114222.4.11.4022	4	lab results associated with Cryptosporidiosis
	Published	06/29/2015	Initial Import for : 3BB4D48A-C996-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
83821001	Cryptosporidium (organism)	Cryptosporidium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416762004	Cryptosporidium canis (organism)	Cryptosporidium canis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416961000	Cryptosporidium felis (organism)	Cryptosporidium felis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417722006	Cryptosporidium hominis (organism)	Cryptosporidium hominis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
46665004	Cryptosporidium meleagridis (organism)	Cryptosporidium meleagridis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4779006	Cryptosporidium muris (organism)	Cryptosporidium muris		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
51504002	Cryptosporidium parvum (organism)	Cryptosporidium parvum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
372395005	Cryptosporidium species (organism)	Cryptosporidium species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608957004	Oocyst form of Genus Cryptosporidium (organism)	Oocyst form of Genus Cryptosporidium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608927008	Trophozoite form of Genus Cryptosporidium (organism)	Trophozoite form of Genus Cryptosporidium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
