Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Diphtheria)	PHVS_LabResult_Diphtheria	2.16.840.1.114222.4.11.4026	6	lab results associated with Diphtheria
	Published	06/15/2017	Value set updated based on RCMT v12.1 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
5851001	Corynebacterium diphtheriae (organism)	Corynebacterium diphtheriae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
83675005	Corynebacterium diphtheriae type gravis (organism)	Corynebacterium diphtheriae type gravis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
70876001	Corynebacterium diphtheriae type intermedius (organism)	Corynebacterium diphtheriae type intermedius		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13755001	Corynebacterium diphtheriae type mitis (organism)	Corynebacterium diphtheriae type mitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243255007	Corynebacterium diphtheriae var belfanti (organism)	Corynebacterium diphtheriae var belfanti		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
707239006	Corynebacterium spp toxin (substance)	Corynebacterium spp toxin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103428000	Corynebacterium ulcerans (organism)	Corynebacterium ulcerans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
443401009	Nontoxigenic Corynebacterium diphtheriae (organism)	Nontoxigenic Corynebacterium diphtheriae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397426001	Toxigenic Corynebacterium (organism)	Toxigenic Corynebacterium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
443377006	Toxigenic Corynebacterium diphtheriae (organism)	Toxigenic Corynebacterium diphtheriae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722789000	Toxigenic Corynebacterium diphtheriae type belfanti (organism)	Toxigenic Corynebacterium diphtheriae type belfanti		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722346001	Toxigenic Corynebacterium diphtheriae type gravis (organism)	Toxigenic Corynebacterium diphtheriae type gravis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722349008	Toxigenic Corynebacterium diphtheriae type intermedius (organism)	Toxigenic Corynebacterium diphtheriae type intermedius		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722350008	Toxigenic Corynebacterium diphtheriae type mitis (organism)	Toxigenic Corynebacterium diphtheriae type mitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722246003	Toxigenic Corynebacterium pseudotuberculosis (organism)	Toxigenic Corynebacterium pseudotuberculosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
719913002	Toxigenic Corynebacterium ulcerans (organism)	Toxigenic Corynebacterium ulcerans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
