Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (E. coli STEC)	PHVS_LabResult_EcoliSTEC	2.16.840.1.114222.4.11.4029	8	lab results associated with E. coli STEC
	Published	04/22/2019	Value set updated based on RCMT v14 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
116395006	Enterohemorrhagic Escherichia coli (organism)	EHEC, Escherichia coli		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
733595003	Enterohemorrhagic Escherichia coli serogroup O:nonmotile (organism)	EHEC, serogroup O:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407249004	Enterohemorrhagic Escherichia coli, serotype O not typeable:nonmotile (organism)	EHEC, serotype O not typeable:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407310004	Enterohemorrhagic Escherichia coli, serotype O rough:H9 (organism)	EHEC, serotype Orough:H9		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407251000	Enterohemorrhagic Escherichia coli, serotype O1:nonmotile (organism)	EHEC, serotype O1:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407281008	Enterohemorrhagic Escherichia coli, serotype O103:H2 (organism)	EHEC, serotype O103:H2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407284000	Enterohemorrhagic Escherichia coli, serotype O104:H21 (organism)	EHEC, serotype O104:H21		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407283006	Enterohemorrhagic Escherichia coli, serotype O104:nonmotile (organism)	EHEC, serotype O104:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407160000	Enterohemorrhagic Escherichia coli, serotype O111:H2 (organism)	EHEC, serotype O111:H2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407285004	Enterohemorrhagic Escherichia coli, serotype O111:H8 (organism)	EHEC, serotype O111:H8		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407159005	Enterohemorrhagic Escherichia coli, serotype O111:nonmotile (organism)	EHEC, serotype O111:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407287007	Enterohemorrhagic Escherichia coli, serotype O113:H21 (organism)	EHEC, serotype O113:H21		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407290001	Enterohemorrhagic Escherichia coli, serotype O118:H12 (organism)	EHEC, serotype O118:H12		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407291002	Enterohemorrhagic Escherichia coli, serotype O118:H16 (organism)	EHEC, serotype O118:H16		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407289005	Enterohemorrhagic Escherichia coli, serotype O118:H2 (organism)	EHEC, serotype O118:H2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407293004	Enterohemorrhagic Escherichia coli, serotype O121:H19 (organism)	EHEC, serotype O121:H19		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407222004	Enterohemorrhagic Escherichia coli, serotype O128:H2 (organism)	EHEC, serotype O128:H2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407295006	Enterohemorrhagic Escherichia coli, serotype O128:H45 (organism)	EHEC, serotype O128:H45		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407294005	Enterohemorrhagic Escherichia coli, serotype O128:nonmotile (organism)	EHEC, serotype O128:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407297003	Enterohemorrhagic Escherichia coli, serotype O137:H41 (organism)	EHEC, serotype O137:H41		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407260008	Enterohemorrhagic Escherichia coli, serotype O14:nonmotile (organism)	EHEC, serotype O14:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407299000	Enterohemorrhagic Escherichia coli, serotype O145:nonmotile (organism)	EHEC, serotype O145:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407300008	Enterohemorrhagic Escherichia coli, serotype O153:H2 (organism)	EHEC, serotype O153:H2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407301007	Enterohemorrhagic Escherichia coli, serotype O153:H25 (organism)	EHEC, serotype O153:H25		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103429008	Enterohemorrhagic Escherichia coli, serotype O157:H7 (organism)	EHEC, serotype O157:H7		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
124994003	Enterohemorrhagic Escherichia coli, serotype O157:non-motile (organism)	EHEC, serotype O157:non-motile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407303005	Enterohemorrhagic Escherichia coli, serotype O163:H19 (organism)	EHEC, serotype O163:H19		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407306002	Enterohemorrhagic Escherichia coli, serotype O165:H25 (organism)	EHEC, serotype O165:H25		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407305003	Enterohemorrhagic Escherichia coli, serotype O165:nonmotile (organism)	EHEC, serotype O165:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407308001	Enterohemorrhagic Escherichia coli, serotype O172:nonmotile (organism)	EHEC, serotype O172:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407253002	Enterohemorrhagic Escherichia coli, serotype O2:H6 (organism)	EHEC, serotype O2:H6		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407254008	Enterohemorrhagic Escherichia coli, serotype O2:H7 (organism)	EHEC, serotype O2:H7		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407262000	Enterohemorrhagic Escherichia coli, serotype O22:H5 (organism)	EHEC, serotype O22:H5		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407263005	Enterohemorrhagic Escherichia coli, serotype O22:H8 (organism)	EHEC, serotype O22:H8		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407265003	Enterohemorrhagic Escherichia coli, serotype O26:H11 (organism)	EHEC, serotype O26:H11		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407264004	Enterohemorrhagic Escherichia coli, serotype O26:nonmotile (organism)	EHEC, serotype O26:nonmotile		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407267006	Enterohemorrhagic Escherichia coli, serotype O45:H2 (organism)	EHEC, serotype O45:H2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
