Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Giardiasis)	PHVS_LabResult_Giardiasis	2.16.840.1.114222.4.11.4034	6	lab results associated with Giardiasis
	Published	06/15/2017	Value set updated based on RCMT v12.1 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
608946009	Cyst form of Genus Giardia (organism)	Cyst form of Genus Giardia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
61419001	Giardia (organism)	Giardia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
19122007	Giardia intestinalis (organism)	Giardia intestinalis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
713874008	Giardia intestinalis cyst (organism)	Giardia intestinalis cyst		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
78181009	Giardia lamblia (organism)	Giardia lamblia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608948005	Giardia lamblia cyst (organism)	Giardia lamblia cyst		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720326004	Giardia lamblia cyst and trophozoite (finding)	Giardia lamblia cyst and trophozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608932009	Giardia lamblia trophozoite (organism)	Giardia lamblia trophozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
372412005	Giardia species (organism)	Giardia species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608931002	Trophozoite form of Genus Giardia (organism)	Trophozoite form of Genus Giardia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
