Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Hantavirus Infection)	PHVS_LabResult_HantavirusInfection	2.16.840.1.114222.4.11.7543	1	 lab results associated with Hantavirus Infection	Published	09/14/2016	v1 Updated based on RCMT v11 update. See RCMT v11 Release notes in Hot Topics on PHINVADS homepage.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
441618005	Amur virus (organism)	Amur virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
442001008	Andes virus (organism)	Andes virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
442513007	Araraquara virus (organism)	Araraquara virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116665009	Bayou virus (organism)	Bayou virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
442615006	Bermejo virus (organism)	Bermejo virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116664008	Black Creek Canal virus (organism)	Black Creek Canal virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441666003	Castelo dos Sonhos virus (organism)	Castelo dos Sonhos virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116662007	Dobrava-Belgrade virus (organism)	Dobrava-Belgrade virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
49445003	Genus Hantavirus (organism)	Genus Hantavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52779006	Hantaan virus (organism)	Hantaan virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103525000	Prospect Hill virus (organism)	Prospect Hill virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40754006	Puumala virus (organism)	Puumala virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
35439004	Seoul virus (organism)	Seoul virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116663002	Sin Nombre virus (organism	Sin Nombre virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
