Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Hepatitis A)	PHVS_LabResult_HepatitisA	2.16.840.1.114222.4.11.4042	3	lab results associated with Hepatitis A
	Published	04/22/2019	Value set updated based on RCMT v14 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
32452004	Hepatitis A virus (organism)	HAV - Hepatitis A virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773674008	Hepatitis A virus genotype I (organism)	Hepatitis A virus genotype I		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773680000	Hepatitis A virus genotype IA (organism)	Hepatitis A virus genotype IA		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773682008	Hepatitis A virus genotype IB (organism)	Hepatitis A virus genotype IB		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773675009	Hepatitis A virus genotype II (organism)	Hepatitis A virus genotype II		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773681001	Hepatitis A virus genotype IIA (organism)	Hepatitis A virus genotype IIA		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773683003	Hepatitis A virus genotype IIB (organism)	Hepatitis A virus genotype IIB		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773676005	Hepatitis A virus genotype III (organism)	Hepatitis A virus genotype III		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773685005	Hepatitis A virus genotype IIIA (organism)	Hepatitis A virus genotype IIIA		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773684009	Hepatitis A virus genotype IIIB (organism)	Hepatitis A virus genotype IIIB		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773677001	Hepatitis A virus genotype IV (organism)	Hepatitis A virus genotype IV		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773678006	Hepatitis A virus genotype V (organism)	Hepatitis A virus genotype V		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
773679003	Hepatitis A virus genotype VI (organism)	Hepatitis A virus genotype VI		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
