Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Legionellosis)	PHVS_LabResult_Legionellosis	2.16.840.1.114222.4.11.4052	6	lab results associated with Legionellosis
	Published	06/30/2015	Update based on RCMTv10.1 and SNOMED CT US Edition 2016-03-01

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
7527002	Genus Legionella (organism)	Legionella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103447002	Legionella adelaidensis (organism)	Legionella adelaidensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18214000	Legionella anisa (organism)	Legionella anisa		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432714000	Legionella beliardensis (organism)	Legionella beliardensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
22592008	Legionella birminghamensis (organism)	Legionella birminghamensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450611004	Legionella bozemanae (organism)	Legionella bozemanae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
801523611000087100	Legionella bozemanii Serogroup 1 (organism)	Legionella bozemanii Serogroup 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
844125861000087102	Legionella bozemanii serogroup 2 (organism)	Legionella bozemanii serogroup 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103448007	Legionella brunensis (organism)	Legionella brunensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433050009	Legionella busanensis (organism)	Legionella busanensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52462004	Legionella cherrii (organism)	Legionella cherrii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58923007	Legionella cincinnatiensis (organism)	Legionella cincinnatiensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432325006	Legionella drancourtii (organism)	Legionella drancourtii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5111000146108	Legionella dresdenensis (organism)	Legionella dresdenensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432712001	Legionella drozanskii (organism)	Legionella drozanskii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113720002	Legionella dumoffii (organism)	Legionella dumoffii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28109006	Legionella erythra (organism)	Legionella erythra		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103449004	Legionella fairfieldensis (organism)	Legionella fairfieldensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432453005	Legionella fallonii (organism)	Legionella fallonii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17083009	Legionella feeleii (organism)	Legionella feeleii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
937671351000087109	Legionella feeleii Serogroup 1 (organism)	Legionella feeleii Serogroup 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
317082141000087106	Legionella feeleii serogroup 2 (organism)	Legionella feeleii serogroup 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103450004	Legionella geestiana (organism)	Legionella geestiana		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103451000	Legionella gratiana (organism)	Legionella gratiana		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433052001	Legionella gresilensis (organism)	Legionella gresilensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58939000	Legionella hackeliae (organism)	Legionella hackeliae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
185883611000087104	Legionella hackeliae serogroup 1 (organism)	Legionella hackeliae serogroup 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
998010041000087101	Legionella hackeliae serogroup 2 (organism)	Legionella hackeliae serogroup 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5121000146103	Legionella impletisoli (organism)	Legionella impletisoli		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3128001	Legionella israelensis (organism)	Legionella israelensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
89709001	Legionella janestowniensis (organism)	Legionella janestowniensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39739007	Legionella jordanis (organism)	Legionella jordanis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103452007	Legionella lansingensis (organism)	Legionella lansingensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103453002	Legionella londiniensis (organism)	Legionella londiniensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
89605004	Legionella longbeachae (organism)	Legionella longbeachae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115515003	Legionella longbeachae, serogroup 1 (organism)	Legionella longbeachae, serogroup 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115516002	Legionella longbeachae, serogroup 2 (organism)	Legionella longbeachae, serogroup 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113806002	Legionella lytica (organism)	Legionella lytica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116379006	Legionella maceachernii (organism)	Legionella maceachernii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116380009	Legionella micdadei (organism)	Legionella micdadei		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103454008	Legionella moravica (organism)	Legionella moravica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103455009	Legionella nautarum (organism)	Legionella nautarum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
638008	Legionella oakridgensis (organism)	Legionella oakridgensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38322001	Legionella parisiensis (organism)	Legionella parisiensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80897008	Legionella pneumophila (organism)	Legionella pneumophila		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103463005	Legionella pneumophila serogroup 1 (organism)	Legionella pneumophila serogroup 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103464004	Legionella pneumophila serogroup 2 (organism)	Legionella pneumophila serogroup 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103465003	Legionella pneumophila serogroup 3 (organism)	Legionella pneumophila serogroup 3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103466002	Legionella pneumophila serogroup 4 (organism)	Legionella pneumophila serogroup 4		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103467006	Legionella pneumophila serogroup 5 (organism)	Legionella pneumophila serogroup 5		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103468001	Legionella pneumophila serogroup 6 (organism)	Legionella pneumophila serogroup 6		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103469009	Legionella pneumophila serogroup 7 (organism)	Legionella pneumophila serogroup 7		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103470005	Legionella pneumophila serogroup 8 (organism)	Legionella pneumophila serogroup 8		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
