Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Leptospirosis)	PHVS_LabResult_Leptospirosis	2.16.840.1.114222.4.11.4053	2	lab results associated with Leptospirosis
	Published	06/14/2011	Initial Import for : 5BEABD72-DE96-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
26764003	Genus Leptospira (organism)	Leptospira		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432579003	Leptospira alexanderi (organism)	Leptospira alexanderi		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113809009	Leptospira borgpetersenii (organism)	Leptospira borgpetersenii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
432580000	Leptospira fainei (organism)	Leptospira fainei		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113810004	Leptospira inadai (organism)	Leptospira inadai		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116401006	Leptospira interrogans (organism)	Leptospira interrogans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113811000	Leptospira kirschneri (organism)	Leptospira kirschneri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113812007	Leptospira meyeri (organism)	Leptospira meyeri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113813002	Leptospira noguchii (organism)	Leptospira noguchii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113815009	Leptospira santarosai (organism)	Leptospira santarosai		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116200009	Leptospira species (organism)	Leptospira species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113816005	Leptospira weilii (organism)	Leptospira weilii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
