Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Listeriosis)	PHVS_LabResult_Listeriosis	2.16.840.1.114222.4.11.4054	4	lab results associated with Listeriosis
	Published	06/30/2015	Initial Import for : DBFE7192-DE96-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
23566007	Genus Listeria (organism)	Listeria		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55032007	Listeria ivanovii (organism)	Listeria ivanovii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433053006	Listeria ivanovii subspecies ivanovii (organism)	Listeria ivanovii subspecies ivanovii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243284003	Listeria ivanovii subspecies londoniensis (organism)	Listeria ivanovii londoniensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36094007	Listeria monocytogenes (organism)	Listeria monocytogenes		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450536000	Listeria monocytogenes serotype 1/2a (organism)	Listeria monocytogenes serotype 1/2a		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450537009	Listeria monocytogenes serotype 1/2b (organism)	Listeria monocytogenes serotype 1/2b		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450538004	Listeria monocytogenes serotype 1/2c (organism)	Listeria monocytogenes serotype 1/2c		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450540009	Listeria monocytogenes serotype 3a (organism)	Listeria monocytogenes serotype 3a		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450541008	Listeria monocytogenes serotype 3b (organism)	Listeria monocytogenes serotype 3b		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450542001	Listeria monocytogenes serotype 3c (organism)	Listeria monocytogenes serotype 3c		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450543006	Listeria monocytogenes serotype 4a (organism)	Listeria monocytogenes serotype 4a		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450545004	Listeria monocytogenes serotype 4ab (organism)	Listeria monocytogenes serotype 4ab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450539007	Listeria monocytogenes serotype 4b (organism)	Listeria monocytogenes serotype 4b		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698150000	Listeria monocytogenes serotype 4bx (organism)	Listeria monocytogenes serotype 4bx		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450544000	Listeria monocytogenes serotype 4c (organism)	Listeria monocytogenes serotype 4c		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450546003	Listeria monocytogenes serotype 4d (organism)	Listeria monocytogenes serotype 4d		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450547007	Listeria monocytogenes serotype 4e (organism)	Listeria monocytogenes serotype 4e		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450548002	Listeria monocytogenes serotype 7 (organism)	Listeria monocytogenes serotype 7		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43091008	Listeria seeligeri (organism)	Listeria seeligeri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131330005	Listeria species (organism)	Listeria species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
