Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Malaria)	PHVS_LabResult_Malaria	2.16.840.1.114222.4.11.4057	5	lab results associated with Malaria
	Published	06/30/2015	Initial Import for : BB6D8214-DF96-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
608962003	Gametocyte form of Genus Plasmodium (organism)	Gametocyte form of Genus Plasmodium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34706006	Plasmodium (organism)	Plasmodium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30020004	Plasmodium falciparum (organism)	Plasmodium falciparum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608963008	Plasmodium falciparum gametocyte (organism)	Plasmodium falciparum gametocyte		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699550001	Plasmodium falciparum merozoite (organism)	Plasmodium falciparum merozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699553004	Plasmodium falciparum schizont (organism)	Plasmodium falciparum schizont		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608935006	Plasmodium falciparum trophozoite (organism)	Plasmodium falciparum trophozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
49918008	Plasmodium knowlesi (organism)	Plasmodium knowlesi		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
56395006	Plasmodium malariae (organism)	Plasmodium malariae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608964002	Plasmodium malariae gametocyte (organism)	Plasmodium malariae gametocyte		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699561009	Plasmodium malariae merozoite (organism)	Plasmodium malariae merozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699562002	Plasmodium malariae schizont (organism)	Plasmodium malariae schizont		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608936007	Plasmodium malariae trophozoite (organism)	Plasmodium malariae trophozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18508006	Plasmodium ovale (organism)	Plasmodium ovale		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608965001	Plasmodium ovale gametocyte (organism)	Plasmodium ovale gametocyte		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699555006	Plasmodium ovale merozoite (organism)	Plasmodium ovale merozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699557003	Plasmodium ovale schizont (organism)	Plasmodium ovale schizont		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608937003	Plasmodium ovale trophozoite (organism)	Plasmodium ovale trophozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
372332005	Plasmodium species (organism)	Plasmodium species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
74746009	Plasmodium vivax (organism)	Plasmodium vivax		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608966000	Plasmodium vivax gametocyte (organism)	Plasmodium vivax gametocyte		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699559000	Plasmodium vivax merozoite (organism)	Plasmodium vivax merozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
699560005	Plasmodium vivax schizont (organism)	Plasmodium vivax schizont		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608938008	Plasmodium vivax trophozoite (organism)	Plasmodium vivax trophozoite		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
608934005	Trophozoite form of Genus Plasmodium (organism)	Trophozoite form of Genus Plasmodium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
