Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Mumps)	PHVS_LabResult_Mumps	2.16.840.1.114222.4.11.4064	3	lab results associated with Mumps
	Published	11/14/2017	Value set updated based on RCMT v12.3 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
725443000	Mumps genotype A (organism)	Mumps genotype A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725444006	Mumps genotype B (organism)	Mumps genotype B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725445007	Mumps genotype C (organism)	Mumps genotype C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725446008	Mumps genotype D (organism)	Mumps genotype D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725447004	Mumps genotype F (organism)	Mumps genotype F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725448009	Mumps genotype G (organism)	Mumps genotype G		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725449001	Mumps genotype H (organism)	Mumps genotype H		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725450001	Mumps genotype I (organism)	Mumps genotype I		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725451002	Mumps genotype J (organism)	Mumps genotype J		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725452009	Mumps genotype K (organism)	Mumps genotype K		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725453004	Mumps genotype L (organism)	Mumps genotype L		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725454005	Mumps genotype N (organism)	Mumps genotype N		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50384007	Mumps virus (organism)	Mumps virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
725593004	Mumps virus genotype unclassified (organism)	Mumps virus genotype unclassified		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
