Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Nontuberculous Mycobacteria)	PHVS_LabResult_NontuberculousMycobacteria	2.16.840.1.114222.4.11.4067	9	Lab results associated with Nontuberculous Mycobacteria
	Published	11/19/2019	v9: Added two concepts

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
113838007	Mycobacterium abscessus (organism)	Mycobacterium abscessus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
704995002	Mycobacterium abscessus subspecies abscessus (organism)	Mycobacterium abscessus subsp. abscessus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
705094007	Mycobacterium abscessus subspecies bolletii (organism)	Mycobacterium abscessus subsp. bolletii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29111009	Mycobacterium agri (organism)	Mycobacterium agri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
66940008	Mycobacterium aichiense (organism)	Mycobacterium aichiense		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
708352002	Mycobacterium algericum (organism)	Mycobacterium algericum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113839004	Mycobacterium alvei (organism)	Mycobacterium alvei		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
770693009	Mycobacterium arabiense (organism)	Mycobacterium arabiense		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5371000146101	Mycobacterium arosiense (organism)	Mycobacterium arosiense		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44760001	Mycobacterium asiaticum (organism)	Mycobacterium asiaticum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
