Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Respiratory Syncytial Virus)	PHVS_LabResult_RespiratorySyncytialVirus	2.16.840.1.114222.4.11.4078	3	lab results associated with Respiratory Syncytial Virus
	Published	06/14/2011	v3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
6415009	Human respiratory syncytial virus (organism)	Human respiratory syncytial virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417772008	Human respiratory syncytial virus GA1 (organism)	Human respiratory syncytial virus A1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417773003	Human respiratory syncytial virus GA2 (organism)	Human respiratory syncytial virus A2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417774009	Human respiratory syncytial virus GA3 (organism)	Human respiratory syncytial virus A3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417790009	Human respiratory syncytial virus GA4 (organism)	Human respiratory syncytial virus A4		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417791008	Human respiratory syncytial virus GA5 (organism)	Human respiratory syncytial virus A5		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417792001	Human respiratory syncytial virus GA6 (organism)	Human respiratory syncytial virus A6		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417793006	Human respiratory syncytial virus GA7 (organism)	Human respiratory syncytial virus A7		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417794000	Human respiratory syncytial virus GB1 (organism)	Human respiratory syncytial virus B1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417795004	Human respiratory syncytial virus GB2 (organism)	Human respiratory syncytial virus B2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417796003	Human respiratory syncytial virus GB3 (organism)	Human respiratory syncytial virus B3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417797007	Human respiratory syncytial virus GB4 (organism)	Human respiratory syncytial virus B4		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417770000	Human respiratory syncytial virus Group A (organism)	Human respiratory syncytial virus A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417771001	Human respiratory syncytial virus Group B (organism)	Human respiratory syncytial virus B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13320001000004109	Sputum culture positive for human respiratory syncytial virus (finding)	Positive sputum culture for hRSV (Human respiratory syncytial virus)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
