Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Rickettsial infection, other)	PHVS_LabResult_RickettsialInfectionOther	2.16.840.1.114222.4.11.4079	2	lab results associated with Rickettsial infection, other
	Published	06/14/2011	Initial Import for : E1D11367-E496-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
62065006	Genus Rickettsia (organism)	Rickettsia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114217004	Rickettsia aeschlimannii (organism)	Rickettsia aeschlimannii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114218009	Rickettsia africae (organism)	Rickettsia africae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30769009	Rickettsia akari (organism)	Rickettsia akari		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
53447008	Rickettsia australis (organism)	Rickettsia australis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76776000	Rickettsia bellii (organism)	Rickettsia bellii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30974007	Rickettsia canadensis (organism)	Rickettsia canadensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32691002	Rickettsia conorii (organism)	Rickettsia conorii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415341005	Rickettsia felis (organism)	Rickettsia felis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114219001	Rickettsia helvetica (organism)	Rickettsia helvetica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
437822006	Rickettsia honei (organism)	Rickettsia honei		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114220007	Rickettsia japonica (organism)	Rickettsia japonica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114221006	Rickettsia massiliae (organism)	Rickettsia massiliae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77199003	Rickettsia montanensis (organism)	Rickettsia montanensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
312330004	Rickettsia peacockii (organism)	Rickettsia peacockii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
79437004	Rickettsia rhipicephali (organism)	Rickettsia rhipicephali		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85288000	Rickettsia sibirica (organism)	Rickettsia sibirica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
437823001	Rickettsia slovaca (organism)	Rickettsia slovaca		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
