Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Rotavirus)	PHVS_LabResult_Rotavirus	2.16.840.1.114222.4.11.4081	2	lab results associated with Rotavirus
	Published	06/14/2011	Initial Import for : 1B94E6B7-E496-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
417542000	Genus Rotavirus (organism)	Rotavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64694002	Human rotavirus (organism)	Human rotavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24940009	Non group A rotavirus (organism)	Non group A rotavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416138003	Rotavirus group A (organism)	Rotavirus group A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
89331006	Rotavirus group B (organism)	Rotavirus group B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31551005	Rotavirus group C (organism)	Rotavirus group C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
88227009	Rotavirus group D (organism)	Rotavirus group D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2864009	Rotavirus group E (organism)	Rotavirus group E		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
83358009	Rotavirus group F (organism)	Rotavirus group F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36833002	Rotavirus group G (organism)	Rotavirus group G		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
