Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Shigella)	PHVS_LabResult_Shigella	2.16.840.1.114222.4.11.4085	7	lab results associated with Shigella
	Published	11/14/2017	Value set updated based on RCMT v12.3 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
721911002	Extended spectrum beta-lactamase producing Shigella sonnei (organism)	ESBL Shigella sonnei		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
726499009	Fluoroquinolone resistant Shigella (organism)	Fluoroquinolone resistant Shigella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77352002	Genus Shigella (organism)	Shigella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406478008	Provisional shigella 3065-93 (organism)	Provisional shigella 3065-93		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406479000	Provisional shigella 3162-96 (organism)	Provisional shigella 3162-96		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406480002	Provisional shigella 88-893 [-: (6)] (organism)	Provisional shigella 88-893 [-: (6)]		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406481003	Provisional shigella 89-141 (organism)	Provisional shigella 89-141		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406482005	Provisional shigella 93-119 (organism)	Provisional shigella 93-119		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406483000	Provisional shigella 96-204 (organism)	Provisional shigella 96-204		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406484006	Provisional shigella 96-265 (organism)	Provisional shigella 96-265		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406485007	Provisional shigella E28938 (organism)	Provisional shigella E28938		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406486008	Provisional shigella E670/74 (organism)	Provisional shigella E670/74		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406487004	Provisional shigella Y394 (organism)	Provisional shigella Y394		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55462008	Shigella boydii (organism)	Shigella boydii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406488009	Shigella boydii 16 (organism)	Shigella boydii 16		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406489001	Shigella boydii 17 (organism)	Shigella boydii 17		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406490005	Shigella boydii 18 (organism)	Shigella boydii 18		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406491009	Shigella boydii 19 [Provisional Serotype E16553] (organism)	Shigella boydii 19 [Provisional Serotype E16553]		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406492002	Shigella boydii 20 [Provisional Serotype SH108(99-4528)] (organism)	Shigella boydii 20 [Provisional Serotype SH108(99-4528)]		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
702989004	Shigella boydii or Shigella flexneri (finding)	Shigella boydii or Shigella flexneri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
406493007	Shigella boydii serotype undetermined (Subgroup C) (organism)	Shigella boydii serotype undetermined (Subgroup C)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
125022001	Shigella boydii, serovar 1 (organism)	Shigella boydii, serovar 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
