Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Streptococcus pneumoniae)	PHVS_LabResult_StrepPneumo	2.16.840.1.114222.4.11.4093	6	lab results associated with Streptococcus pneumoniae
	Published	10/29/2018	RCMT v13.3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
409808003	Drug resistant Streptococcus pneumoniae (organism)	Drug resistant Streptococcus pneumoniae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
409806004	Multiple drug-resistant Streptococcus pneumoniae (organism)	Multiple drug-resistant Streptococcus pneumoniae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
409807008	Penicillin resistant Streptococcus pneumoniae (organism)	Penicillin resistant Streptococcus pneumoniae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9861002	Streptococcus pneumoniae (organism)	Streptococcus pneumoniae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415607008	Streptococcus pneumoniae Danish serotype 1 (organism)	Streptococcus pneumoniae Danish serotype 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415608003	Streptococcus pneumoniae Danish serotype 10A (organism)	Streptococcus pneumoniae Danish serotype 10A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428124003	Streptococcus pneumoniae Danish serotype 10B (organism)	Streptococcus pneumoniae Danish serotype 10B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698103009	Streptococcus pneumoniae Danish serotype 10C (organism)	Streptococcus pneumoniae Danish serotype 10C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441602004	Streptococcus pneumoniae Danish serotype 10F (organism)	Streptococcus pneumoniae Danish serotype 10F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
419071000	Streptococcus pneumoniae Danish serotype 11A (organism)	Streptococcus pneumoniae Danish serotype 11A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698104003	Streptococcus pneumoniae Danish serotype 11B (organism)	Streptococcus pneumoniae Danish serotype 11B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698105002	Streptococcus pneumoniae Danish serotype 11C (organism)	Streptococcus pneumoniae Danish serotype 11C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698106001	Streptococcus pneumoniae Danish serotype 11D (organism)	Streptococcus pneumoniae Danish serotype 11D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
763392007	Streptococcus pneumoniae Danish serotype 11E (organism)	Streptococcus pneumoniae Danish serotype 11E		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698107005	Streptococcus pneumoniae Danish serotype 11F (organism)	Streptococcus pneumoniae Danish serotype 11F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698108000	Streptococcus pneumoniae Danish serotype 12A (organism)	Streptococcus pneumoniae Danish serotype 12A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698109008	Streptococcus pneumoniae Danish serotype 12B (organism)	Streptococcus pneumoniae Danish serotype 12B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
419305002	Streptococcus pneumoniae Danish serotype 12F (organism)	Streptococcus pneumoniae Danish serotype 12F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428366009	Streptococcus pneumoniae Danish serotype 13 (organism)	Streptococcus pneumoniae Danish serotype 13		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103498008	Streptococcus pneumoniae Danish serotype 14 (organism)	Streptococcus pneumoniae Danish serotype 14		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
443239003	Streptococcus pneumoniae Danish serotype 15A (organism)	Streptococcus pneumoniae Danish serotype 15A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
