Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Streptococcus, group A)	PHVS_LabResult_StreptococcusGroupA	2.16.840.1.114222.4.11.4095	3	lab results associated with Streptococcus, group A
	Published	06/14/2011	v3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
413643004	Beta-hemolytic Streptococcus, group A (organism)	Beta-hemolytic Streptococcus, group A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
414577006	Large-colony-forming beta-hemolytic group A streptococci (organism)	Large-colony-forming beta-hemolytic group A streptococci		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415534000	Small-colony-forming beta-hemolytic group A streptococci (organism)	Small-colony-forming beta-hemolytic group A streptococci		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80166006	Streptococcus pyogenes (organism)	Streptococcus pyogenes		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428854005	Streptococcus pyogenes type emm1 (organism)	Streptococcus pyogenes type emm1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
443028006	Streptococcus pyogenes type emm10 (organism)	Streptococcus pyogenes type emm10		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
443053009	Streptococcus pyogenes type emm100 (organism)	Streptococcus pyogenes type emm100		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698151001	Streptococcus pyogenes type emm101 (organism)	Streptococcus pyogenes type emm101		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698152008	Streptococcus pyogenes type emm102 (organism)	Streptococcus pyogenes type emm102		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698153003	Streptococcus pyogenes type emm103 (organism)	Streptococcus pyogenes type emm103		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698154009	Streptococcus pyogenes type emm104 (organism)	Streptococcus pyogenes type emm104		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698155005	Streptococcus pyogenes type emm105 (organism)	Streptococcus pyogenes type emm105		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698156006	Streptococcus pyogenes type emm106 (organism)	Streptococcus pyogenes type emm106		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
