Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Trichinellosis)	PHVS_LabResult_Trichinellosis	2.16.840.1.114222.4.11.4100	5	lab results associated with Trichinellosis
	Published	10/29/2018	RCMT v13.3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
609055003	Adult of genus Trichinella (organism)	Genus Trichinella adult		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
609056002	Adult of Trichinella spiralis (organism)	Trichinella spiralis adult		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
609074006	Larva of genus Trichinella (organism)	Genus Trichinella larva		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
609075007	Larva of Trichinella spiralis (organism)	Trichinella spiralis larva		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
37900004	Trichinella (organism)	Trichinella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
766910001	Trichinella murrelli (organism)	Trichinella murrelli		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
767450004	Trichinella nativa (organism)	Trichinella nativa		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
767451000	Trichinella nelsoni (organism)	Trichinella nelsoni		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
766911002	Trichinella pseudospiralis (organism)	Trichinella pseudospiralis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
372360007	Trichinella species (organism)	Trichinella species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16439004	Trichinella spiralis (organism)	Trichinella spiralis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
264433000	Trichinella spiralis nativa (organism)	Trichinella spiralis nativa		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
264434006	Trichinella spiralis nelsoni (organism)	Trichinella spiralis nelsoni		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
264435007	Trichinella spiralis spiralis (organism)	Trichinella spiralis spiralis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
766912009	Trichinella T6 (organism)	Trichinella T6		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
