Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Vancomycin resistant Enterococcus)	PHVS_LabResult_VancomycinResistantEnterococcus	2.16.840.1.114222.4.11.4106	5	lab results associated with Vancomycin resistant Enterococcus
	Published	06/30/2015	Added concept: Vancomycin resistant Enterococcus raffinosus

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
707768008	Enterococcus faecium genotype vanA (organism)	Enterococcus faecium genotype vanA		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
707769000	Enterococcus faecium genotype vanB (organism)	Enterococcus faecium genotype vanB		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712664000	Vancomycin intermediate Enterococcus faecalis (organism)	Vancomycin intermediate Enterococcus faecalis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712666003	Vancomycin intermediate Enterococcus faecium (organism)	Vancomycin intermediate Enterococcus faecium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113727004	Vancomycin resistant enterococcus (organism)	Vancomycin resistant enterococcus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712663006	Vancomycin resistant Enterococcus faecalis (organism)	Vancomycin resistant Enterococcus faecalis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712665004	Vancomycin resistant Enterococcus faecium (organism)	Vancomycin resistant Enterococcus faecium		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
782959008	Vancomycin resistant Enterococcus raffinosus (organism)	Vancomycin resistant Enterococcus raffinosus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
710333000	Vancomycin resistant enterococcus vanA strain (organism)	Vancomycin resistant enterococcus vanA strain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
710334006	Vancomycin resistant enterococcus vanB strain (organism)	Vancomycin resistant enterococcus vanB strain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
707767003	Vancomycin resistant vanB2 and vanB3 Enterococcus (organism)	Vancomycin resistant vanB2 and vanB3 Enterococcus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
