Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Vibriosis, non-cholera)	PHVS_LabResult_VibriosisNonCholera	2.16.840.1.114222.4.11.4109	8	lab results associated with Vibriosis, non-cholera
	Published	06/15/2017	Value set updated based on RCMT v12.1 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
34872001	Genus Vibrio (organism)	Vibrio		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433669003	Grimontia hollisae (organism)	Grimontia hollisae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398367007	Non-cholerae vibrio (organism)	Non-cholerae vibrio		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
710346005	Nontoxigenic Vibrio cholerae, O1 (organism)	Nontoxigenic Vibrio cholerae, O1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
387798006	Photobacterium damselae (organism)	Photobacterium damselae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45749000	Vibrio alginolyticus (organism)	Vibrio alginolyticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
715335005	Vibrio cholerae serogroup O141	Vibrio cholerae serogroup O141 (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398506000	Vibrio cholerae, non-O1 (organism)	Vibrio cholerae, non-O1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415819003	Vibrio cholerae, non-O1/non-O139 (organism)	Vibrio cholerae, non-O1/non-O139		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415820009	Vibrio cholerae, non-O139 (organism)	Vibrio cholerae, non-O139		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36764009	Vibrio cincinnatiensis (organism)	Vibrio cincinnatiensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43199008	Vibrio fluvialis (organism)	Vibrio fluvialis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6387008	Vibrio furnissii (organism)	Vibrio furnissii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28382009	Vibrio metschnikovii (organism)	Vibrio metschnikovii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11776003	Vibrio mimicus (organism)	Vibrio mimicus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11736008	Vibrio parahaemolyticus (organism)	Vibrio parahaemolyticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712766009	Vibrio parahaemolyticus or Vibrio alginolyticus (finding)	Vibrio parahaemolyticus or Vibrio alginolyticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131373001	Vibrio species (organism)	Vibrio species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55905000	Vibrio vulnificus (organism)	Vibrio vulnificus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722806003	Vibrio vulnificus biotype 1 (organism)	Vibrio vulnificus biotype 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722807007	Vibrio vulnificus biotype 2 (organism)	Vibrio vulnificus biotype 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
722808002	Vibrio vulnificus biotype 3 (organism)	Vibrio vulnificus biotype 3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
