Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Viral Hemorrhagic Fever)	PHVS_LabResult_ViralHemorrhagicFever	2.16.840.1.114222.4.11.4110	2	lab results associated with Viral Hemorrhagic Fever
	Published	06/14/2011	Initial Import for : 1B486487-EA96-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
79875007	Crimean-Congo hemorrhagic fever virus (organism)	Crimean-Congo hemorrhagic fever virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58234003	Genus Arenavirus (organism)	Arenavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
424206003	Genus Ebolavirus (organism)	Ebolavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
424421007	Genus Marburgvirus (organism)	Marburgvirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
311506003	Guanarito virus (organism)	Guanarito virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
68684004	Hazara virus (organism)	Hazara virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
423042009	Ivory Coast ebolavirus (organism)	Ivory Coast ebolavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
26352009	Junin virus (organism)	Junin virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
67732000	Khasan virus (organism)	Khasan virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
422839008	Lake Victoria marburgvirus (organism)	Lake Victoria marburgvirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85944001	Lassa virus (organism)	Lassa virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
71489006	Machupo virus (organism)	Machupo virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
422448009	Reston ebolavirus (organism)	Reston ebolavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
311508002	Sabia virus (organism)	Sabia virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
424116003	Sudan ebolavirus (organism)	Sudan ebolavirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425092008	Zaire virus (organism)	Zaire virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
