Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Result (Yersiniosis)	PHVS_LabResult_Yersiniosis	2.16.840.1.114222.4.11.4116	5	lab results associated with Yersiniosis
	Published	11/14/2017	Value set updated based on RCMT v12.3 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
4668009	Genus Yersinia (organism)	Yersinia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65255000	Yersinia enterocolitica (organism)	Yersinia enterocolitica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720758006	Yersinia enterocolitica biotype 1A (organism)	Yersinia enterocolitica biotype 1A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720777008	Yersinia enterocolitica biotype 1A non-serotypable (organism)	Yersinia enterocolitica biotype 1A non-serotypable		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720778003	Yersinia enterocolitica biotype 1A serotype O rough (organism)	Yersinia enterocolitica biotype 1A serotype O rough		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720786003	Yersinia enterocolitica biotype 1A serotype O:10 (organism)	Yersinia enterocolitica biotype 1A serotype O:10		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720787007	Yersinia enterocolitica biotype 1A serotype O:14 (organism)	Yersinia enterocolitica biotype 1A serotype O:14		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720788002	Yersinia enterocolitica biotype 1A serotype O:16 (organism)	Yersinia enterocolitica biotype 1A serotype O:16		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
732253000	Yersinia enterocolitica biotype 1A serotype O:19,8 (organism)	Yersinia enterocolitica biotype 1A serotype O:19,8		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720790001	Yersinia enterocolitica biotype 1A serotype O:22 (organism)	Yersinia enterocolitica biotype 1A serotype O:22		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720791002	Yersinia enterocolitica biotype 1A serotype O:36 (organism)	Yersinia enterocolitica biotype 1A serotype O:36		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720871003	Yersinia enterocolitica biotype 1A serotype O:4,33 (organism)	Yersinia enterocolitica biotype 1A serotype O:4,33		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720779006	Yersinia enterocolitica biotype 1A serotype O:5 (organism)	Yersinia enterocolitica biotype 1A serotype O:5		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720792009	Yersinia enterocolitica biotype 1A serotype O:57 (organism)	Yersinia enterocolitica biotype 1A serotype O:57		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720780009	Yersinia enterocolitica biotype 1A serotype O:6,30 (organism)	Yersinia enterocolitica biotype 1A serotype O:6,30		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
720781008	Yersinia enterocolitica biotype 1A serotype O:6,31 (organism)	Yersinia enterocolitica biotype 1A serotype O:6,31		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
