Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Interpretation (Pediatric Flu)	PHVS_LabTestInterpretation_PediatricFlu	2.16.840.1.114222.4.11.3263	1	Epidemiologic interpretation of the results of the tests performed for this case.	Published	10/29/2009	Lab Test Interpretation (Pediatric Flu)

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PLR1	Influenza A (H1)	Flu A/H1		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR3	Influenza A (H3)	Flu A/H3		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR59	Influenza A (Subtyping Not Done)	Influenza A (Subtyping Not Done)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR19	Influenza A (unsubtypeable)	Influenza A (Unable to subtype)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
407479009	Influenza A virus (organism)	Flu A		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
442352004	Influenza A virus subtype H1N1 (organism)	Pandemic Influenza A (H1N1)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR60	Influenza A/B (Not Distinguished)	Influenza A/B (Not Distinguished)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
407480007	Influenza B virus (organism)	Flu B		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR58	Influenza virus co-infection 	Influenza virus co-infection 		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
260385009	Negative (qualifier value)	Negative		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
