Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Acid fast stain)	PHVS_LabTestName_AcidFastStain	2.16.840.1.114222.4.11.4250	8	lab tests associated with Acid fast stain
	Published	08/31/2019	RCMT v14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
88152-4	Acid fast Kiny Stn Cvx	Microscopic observation [Identifier] in Cervix by Acid fast stain.Kinyoun		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
640-3	Acid fast Kiny Stn Gast	Microscopic observation [Identifier] in Gastric fluid by Acid fast stain.Kinyoun		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88631-7	Acid fast Kiny Stn Lower Resp Ql	Microscopic observation [Presence] in Lower respiratory specimen by Acid fast stain.Kinyoun		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
645-2	Acid fast Kiny Stn Spt	Microscopic observation [Identifier] in Sputum by Acid fast stain.Kinyoun		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6655-5	Acid fast Kiny Stn Tiss	Microscopic observation [Identifier] in Tissue by Acid fast stain.Kinyoun		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
650-2	Acid fast Kiny Stn Ur	Microscopic observation [Identifier] in Urine by Acid fast stain.Kinyoun		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
654-4	Acid fast Kiny Stn XXX	Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain.Kinyoun		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
641-1	Acid fast Mod Kiny Stn Gast	Microscopic observation [Identifier] in Gastric fluid by Acid fast stain.Kinyoun modified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14353-7	Acid fast Mod Kiny Stn Plr	Microscopic observation [Identifier] in Pleural fluid by Acid fast stain.Kinyoun modified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
646-0	Acid fast Mod Kiny Stn Spt	Microscopic observation [Identifier] in Sputum by Acid fast stain.Kinyoun modified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6656-3	Acid fast Mod Kiny Stn Tiss	Microscopic observation [Identifier] in Tissue by Acid fast stain.Kinyoun modified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
651-0	Acid fast Mod Kiny Stn Ur	Microscopic observation [Identifier] in Urine by Acid fast stain.Kinyoun modified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14354-5	Acid fast Mod Kiny Stn Wnd	Microscopic observation [Identifier] in Wound by Acid fast stain.Kinyoun modified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
655-1	Acid fast Mod Kiny Stn XXX	Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain.Kinyoun modified		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88156-5	Acid fast Stn Amn	Microscopic observation [Identifier] in Amniotic fluid by Acid fast stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88159-9	Acid fast Stn Aspirate	Microscopic observation [Identifier] in Aspirate by Acid fast stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88231-6	Acid fast Stn Bifl	Microscopic observation [Identifier] in Bile fluid by Acid fast stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32699-1	Acid fast Stn Bld	Microscopic observation [Identifier] in Blood by Acid fast stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24002-8	Acid fast Stn Bronch	Microscopic observation [Identifier] in Bronchial specimen by Acid fast stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88171-4	Acid fast Stn Corn/Cnjt Ql	Microscopic observation [Presence] in Cornea or Conjunctiva by Acid fast stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
