Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Amebiasis)	PHVS_LabTestName_Amebiasis	2.16.840.1.114222.4.11.4117	4	lab tests associated with Amebiasis	Published	08/31/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
18305-3	Amoeba Aspirate IH Stn	Amoeba identified in Aspirate by Iron hematoxylin stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10641-9	Amoeba Aspirate ImStn	Amoeba identified in Aspirate by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10642-7	Amoeba Aspirate Wet Prep	Amoeba identified in Aspirate by Wet preparation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10643-5	Amoeba Stl Cult	Amoeba identified in Stool by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6594-6	Amoeba XXX Cult	Amoeba identified in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70293-6	E histo+disp+ecua+nutt DNA XXX Ql PCR	Entamoeba histolytica+Entamoeba dispar+Entamoeba ecuadoriensis+Entamoeba nuttalli DNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47406-4	E histolyt Ab CSF Ql	Entamoeba histolytica Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16818-7	E histolyt Ab CSF-aCnc	Entamoeba histolytica Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16820-3	E histolyt Ab Ser CF-aCnc	Entamoeba histolytica Ab [Units/volume] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5150-8	E histolyt Ab Ser EIA-aCnc	Entamoeba histolytica Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5151-6	E histolyt Ab Ser HA-aCnc	Entamoeba histolytica Ab [Units/volume] in Serum by Hemagglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9421-9	E histolyt Ab Ser ID-aCnc	Entamoeba histolytica Ab [Units/volume] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16819-5	E histolyt Ab Ser IF-aCnc	Entamoeba histolytica Ab [Units/volume] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22285-1	E histolyt Ab Ser Ql	Entamoeba histolytica Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90297-3	E histolyt Ab Ser Ql IA	Entamoeba histolytica Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16817-9	E histolyt Ab Ser Ql ID	Entamoeba histolytica Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56921-0	E histolyt Ab Ser Ql IF	Entamoeba histolytica Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7880-8	E histolyt Ab Ser-aCnc	Entamoeba histolytica Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22286-9	E histolyt Ab Titr Ser	Entamoeba histolytica Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9420-1	E histolyt Ab Titr Ser CF	Entamoeba histolytica Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21259-7	E histolyt Ab Titr Ser HA	Entamoeba histolytica Ab [Titer] in Serum by Hemagglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25400-3	E histolyt Ab Titr Ser IF	Entamoeba histolytica Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6397-4	E histolyt Ag Ser EIA-aCnc	Entamoeba histolytica Ag [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31810-5	E histolyt Ag Ser-aCnc	Entamoeba histolytica Ag [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6398-2	E histolyt Ag Stl EIA-aCnc	Entamoeba histolytica Ag [Units/volume] in Stool by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29905-7	E histolyt Ag Stl Ql EIA	Entamoeba histolytica Ag [Presence] in Stool by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31811-3	E histolyt Ag Stl-aCnc	Entamoeba histolytica Ag [Units/volume] in Stool		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6399-0	E histolyt Ag XXX EIA-aCnc	Entamoeba histolytica Ag [Units/volume] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31812-1	E histolyt Ag XXX-aCnc	Entamoeba histolytica Ag [Units/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82207-2	E histolyt DNA Stl Ql Non-probe PCR	Entamoeba histolytica DNA [Presence] in Stool by Target amplification with non-probe based detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6396-6	E histolyt DNA XXX Ql PCR	Entamoeba histolytica DNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27090-0	E histolyt IgA Sal Ql	Entamoeba histolytica IgA Ab [Presence] in Saliva		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9521-6	E histolyt IgA Ser EIA-aCnc	Entamoeba histolytica IgA Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22287-7	E histolyt IgA Ser-aCnc	Entamoeba histolytica IgA Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9522-4	E histolyt IgG Ser EIA-aCnc	Entamoeba histolytica IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56922-8	E histolyt IgG Ser Ql EIA	Entamoeba histolytica IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22288-5	E histolyt IgG Ser-aCnc	Entamoeba histolytica IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9523-2	E histolyt IgM Ser EIA-aCnc	Entamoeba histolytica IgM Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22289-3	E histolyt IgM Ser-aCnc	Entamoeba histolytica IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14125-9	E histolyt Stl Ql Tri Stn	Entamoeba histolytica [Presence] in Stool by Trichrome stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80682-8	E histolytica 18S rRNA Stl Ql PCR	Entamoeba histolytica 18S rRNA [Presence] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26655-1	Entamoeba Ab Ser Ql	Entamoeba sp Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90298-1	Entamoeba DNA Stl Seq	Entamoeba sp DNA [Identifier] in Stool by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70294-4	Entamoeba DNA XXX Seq	Entamoeba sp DNA [Identifier] in Unspecified specimen by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91766-6	Entamoeba histolytica DNA	Entamoeba histolytica DNA [Presence] in Aspirate by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
92689-9	Entamoeba histolytica DNA	Entamoeba histolytica DNA [Presence] in Stool by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91765-8	Entamoeba sp DNA	Entamoeba sp DNA [Identifier] in Aspirate by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
