Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Anaplasma)	PHVS_LabTestName_Anaplasma	2.16.840.1.114222.4.11.4118	6	lab tests associated with Anaplasma
	Published	08/31/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
87548-4	A phag+Ehrl sp DNA Pnl Bld NAA+non-probe	Anaplasma phagocytophilum and Ehrlichia sp DNA panel - Blood Qualitative by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87558-3	A phago groEL Bld Ql NAA+non-probe	Anaplasma phagocytophilum groEL gene [Presence] in Blood by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
77165-9	A phagocyt + E chaff Ab.IgG Pnl Titr Ser	Anaplasma phagocytophilum and Ehrlichia chaffeensis IgG panel [Titer] - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43992-7	A phagocytoph Ab Ser IF-Imp	Anaplasma phagocytophilum Ab [Interpretation] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7877-4	A phagocytoph Ab Ser Ql	Anaplasma phagocytophilum Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6403-0	A phagocytoph Ab Ser Ql IA	Anaplasma phagocytophilum Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31363-5	A phagocytoph Ab Ser-aCnc	Anaplasma phagocytophilum Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33609-9	A phagocytoph Ab Titr Ser	Anaplasma phagocytophilum Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30338-8	A phagocytoph Ab Titr Ser IF	Anaplasma phagocytophilum Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54034-4	A phagocytoph Ag Tiss Ql ImStn	Anaplasma phagocytophilum Ag [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30039-2	A phagocytoph DNA Bld Ql NAA+probe	Anaplasma phagocytophilum DNA [Presence] in Blood by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29560-0	A phagocytoph DNA XXX Ql NAA+probe	Anaplasma phagocytophilum DNA [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29844-8	A phagocytoph IgG CSF Ql	Anaplasma phagocytophilum IgG Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29806-7	A phagocytoph IgG CSF Ql IB	Anaplasma phagocytophilum IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29856-2	A phagocytoph IgG Ser Ql	Anaplasma phagocytophilum IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29819-0	A phagocytoph IgG Ser Ql IB	Anaplasma phagocytophilum IgG Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16808-8	A phagocytoph IgG Ser-aCnc	Anaplasma phagocytophilum IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49213-2	A phagocytoph IgG Titr Fld	Anaplasma phagocytophilum IgG Ab [Titer] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48877-5	A phagocytoph IgG Titr Fld IF	Anaplasma phagocytophilum IgG Ab [Titer] in Body fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32691-8	A phagocytoph IgG Titr Ser	Anaplasma phagocytophilum IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23877-4	A phagocytoph IgG Titr Ser IF	Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29832-3	A phagocytoph IgG XXX Ql	Anaplasma phagocytophilum IgG Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29793-7	A phagocytoph IgG XXX Ql IB	Anaplasma phagocytophilum IgG Ab [Presence] in Unspecified specimen by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55150-7	A phagocytoph IgG+IgM Pnl Ser	Anaplasma phagocytophilum IgG and IgM panel - Serum Qualitative		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29845-5	A phagocytoph IgM CSF Ql	Anaplasma phagocytophilum IgM Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29807-5	A phagocytoph IgM CSF Ql IB	Anaplasma phagocytophilum IgM Ab [Presence] in Cerebral spinal fluid by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29857-0	A phagocytoph IgM Ser Ql	Anaplasma phagocytophilum IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29820-8	A phagocytoph IgM Ser Ql IB	Anaplasma phagocytophilum IgM Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16809-6	A phagocytoph IgM Ser-aCnc	Anaplasma phagocytophilum IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49214-0	A phagocytoph IgM Titr Fld	Anaplasma phagocytophilum IgM Ab [Titer] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48876-7	A phagocytoph IgM Titr Fld IF	Anaplasma phagocytophilum IgM Ab [Titer] in Body fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32692-6	A phagocytoph IgM Titr Ser	Anaplasma phagocytophilum IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23878-2	A phagocytoph IgM Titr Ser IF	Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29833-1	A phagocytoph IgM XXX Ql	Anaplasma phagocytophilum IgM Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29794-5	A phagocytoph IgM XXX Ql IB	Anaplasma phagocytophilum IgM Ab [Presence] in Unspecified specimen by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48872-6	A phagocytoph XXX Ql Cult	Anaplasma phagocytophilum [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22800-7	Anaplasma Bld Mod Giemsa	Anaplasma sp identified in Blood by Modified Giemsa stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91899-5	Anaplasma phagocytophilum & Ehrlichia chaffeensis DNA panel	Anaplasma phagocytophilum and Ehrlichia chaffeensis DNA panel - Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22799-1	Anaplasma Tiss Mod Giemsa	Anaplasma sp identified in Tissue by Modified Giemsa stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48981-5	Anaplasma XXX Ql Micro	Anaplasma sp [Presence] in Unspecified specimen by Light microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49122-5	Anaplasma XXX Seq	Anaplasma sp identified in Unspecified specimen by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7878-2	Deprecated A phagocytoph Ab Ser Ql	Deprecated Anaplasma phagocytophilum Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20810-8	Deprecated A phagocytoph Ab Ser Ql	Deprecated Ehrlichia equi Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6404-8	Deprecated A phagocytoph Ab Ser Ql EIA	Deprecated Anaplasma phagocytophilum Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33581-0	Deprecated A phagocytoph Ab Titr Ser IF	Deprecated Anaplasma phagocytophilum Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31433-6	Deprecated A phagocytoph IgG Ser-aCnc	Deprecated Anaplasma phagocytophilum IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33608-1	Deprecated A phagocytoph IgG Titr Ser	Deprecated Anaplasma phagocytophilum IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33580-2	Deprecated A phagocytoph IgG Titr Ser IF	Deprecated Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31434-4	Deprecated A phagocytoph IgM Ser-aCnc	Deprecated Anaplasma phagocytophilum IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33607-3	Deprecated A phagocytoph IgM Titr Ser	Deprecated Anaplasma phagocytophilum IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33579-4	Deprecated A phagocytoph IgM Titr Ser IF	Deprecated Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87547-6	Tick IgG + B burgdor Ab Pnl Ser	Borrelia burgdorferi Ab and Anaplasma phagocytophilum, Babesia microti and Ehrlichia chaffeensis IgG panel - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
