Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Anthrax)	PHVS_LabTestName_Anthrax	2.16.840.1.114222.4.11.4119	2	lab tests associated with Anthrax
	Published	06/14/2011	Initial Import for : 3BE33AC0-C796-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
5055-9	B anthracis Ab Ser HA-aCnc	Bacillus anthracis Ab [Units/volume] in Serum by Hemagglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11467-8	B anthracis Ab Ser IB-aCnc	Bacillus anthracis Ab [Units/volume] in Serum by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22860-1	B anthracis Ab Ser Ql	Bacillus anthracis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22862-7	B anthracis Ab Ser Ql Aggl	Bacillus anthracis Ab [Presence] in Serum by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22864-3	B anthracis Ab Ser Ql CF	Bacillus anthracis Ab [Presence] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22863-5	B anthracis Ab Ser Ql EIA	Bacillus anthracis Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22861-9	B anthracis Ab Ser Ql ID	Bacillus anthracis Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7814-7	B anthracis Ab Ser-aCnc	Bacillus anthracis Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22859-3	B anthracis Ab Titr Ser	Bacillus anthracis Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22865-0	B anthracis Ab Titr Ser ID	Bacillus anthracis Ab [Titer] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11468-6	B anthracis Ab XXX IF-aCnc	Bacillus anthracis Ab [Units/volume] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22109-3	B anthracis Ab XXX-aCnc	Bacillus anthracis Ab [Units/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33697-4	B anthracis Ag Islt Ql IF	Bacillus anthracis Ag [Presence] in Isolate by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22866-8	B anthracis Ag Tiss Ql IF	Bacillus anthracis Ag [Presence] in Tissue by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31726-3	B anthracis Ag XXX Ql	Bacillus anthracis Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22867-6	B anthracis Ag XXX Ql IF	Bacillus anthracis Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51976-9	B anthracis capsule Ag XXX Ql IF	Bacillus anthracis capsule Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44269-9	B anthracis cell wall Ag XXX Ql IF	Bacillus anthracis cell wall Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41622-2	B anthracis DNA XXX PCR	Bacillus anthracis DNA [Identifier] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41623-0	B anthracis DNA XXX Ql PCR	Bacillus anthracis DNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33698-2	B anthracis Islt Ql Phage Lys	Bacillus anthracis [Presence] in Isolate by Phage lysis		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44270-7	B anthracis spore Ag XXX Ql IF	Bacillus anthracis spore Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11469-4	B anthracis XXX Ql Cult	Bacillus anthracis [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20691-2	Deprecated B anthracis XXX Ql Cult	Deprecated Bacillus anthracis [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
