Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Arsenic poisoning)	PHVS_LabTestName_ArsenicPoisoning	2.16.840.1.114222.4.11.4246	6	lab tests associated with Arsenic poisoning
	Published	04/13/2018	RCMT V13

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
30924-5	Arsenic ?Tm Ur-mCnc	Arsenic [Mass/volume] in Urine collected for unspecified duration		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13958-4	Arsenic 24h Ur Ql	Arsenic [Presence] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21074-0	Arsenic 24h Ur-mCnc	Arsenic [Mass/volume] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5587-1	Arsenic 24h Ur-mRate	Arsenic [Mass/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34245-1	Arsenic 24h Ur-sCnc	Arsenic [Moles/volume] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34244-4	Arsenic 24h Ur-sRate	Arsenic [Moles/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38569-0	Arsenic Air-mCnc	Arsenic [Mass/volume] in Air		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5582-2	Arsenic Bld Ql	Arsenic [Presence] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5583-0	Arsenic Bld-mCnc	Arsenic [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
15114-2	Arsenic Bld-sCnc	Arsenic [Moles/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40701-5	Arsenic Dial fld-mCnc	Arsenic [Mass/volume] in Dialysis fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9489-6	Arsenic Fld-mCnc	Arsenic [Mass/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54454-4	Arsenic fractions Pnl Ur	Arsenic fractions panel - Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43825-9	Arsenic Gast Ql	Arsenic [Presence] in Gastric fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20687-0	Arsenic Gast-mCnc	Arsenic [Mass/volume] in Gastric fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5584-8	Arsenic Hair-mCnt	Arsenic [Mass/mass] in Hair		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
46096-4	Arsenic Hair-sCnt	Arsenic [Moles/mass] in Hair		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8157-0	Arsenic Nail-mCnt	Arsenic [Mass/mass] in Nail		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50813-5	Arsenic Nail-sCnt	Arsenic [Moles/mass] in Nail		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43181-7	Arsenic organic 24h Ur-mCnc	Arsenic organic [Mass/volume] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53839-7	Arsenic organic 24h Ur-mRate	Arsenic organic [Mass/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53778-7	Arsenic organic Ur-mCnc	Arsenic organic [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50816-8	Arsenic organic Ur-sCnc	Arsenic organic [Moles/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27127-0	Arsenic RBC-mCnt	Arsenic [Mass/mass] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50812-7	Arsenic RBC-sCnc	Arsenic [Moles/volume] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16403-8	Arsenic SerPl Ql	Arsenic [Presence] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5585-5	Arsenic SerPl-mCnc	Arsenic [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25323-7	Arsenic SerPl-sCnc	Arsenic [Moles/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43809-3	Arsenic Tiss Ql	Arsenic [Presence] in Tissue		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8158-8	Arsenic Tiss-mCnt	Arsenic [Mass/mass] in Tissue		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18406-9	Arsenic trioxide Ur-mCnc	Arsenic trioxide [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16404-6	Arsenic Ur Ql	Arsenic [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5586-3	Arsenic Ur-mCnc	Arsenic [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29914-9	Arsenic Ur-mRate	Arsenic [Mass/time] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
15115-9	Arsenic Ur-sCnc	Arsenic [Moles/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9463-1	Arsenic Wat-mCnc	Arsenic [Mass/volume] in Water		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43815-0	Arsenic XXX Ql	Arsenic [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87481-8	Arsenic XXX-mCnc	Arsenic [Mass/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9366-6	Arsenic XXX-mCnt	Arsenic [Mass/mass] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53779-5	Arsenic.methylated Ur-mCnc	Arsenic.methylated [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13824-8	Arsenic/Creat 24h Ur	Arsenic/Creatinine [Mass Ratio] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50817-6	Arsenic/Creat 24h Ur-sRto	Arsenic/Creatinine [Molar ratio] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13463-5	Arsenic/Creat Ur	Arsenic/Creatinine [Mass Ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56652-1	Arsenic/Creat Ur-Rto	Arsenic/Creatinine [Ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25324-5	Arsenic/Creat Ur-sRto	Arsenic/Creatinine [Molar ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
15116-7	Deprecated Arsenic Ur-sCnc	Deprecated Arsenic [Molecules/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41992-9	Inorg Arsenic 24h Ur-mCnc	Arsenic.inorganic [Mass/volume] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53838-9	Inorg Arsenic 24h Ur-mRate	Arsenic.inorganic [Mass/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50815-0	Inorg Arsenic 24h Ur-sRate	Arsenic.inorganic [Moles/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12481-8	Inorg Arsenic Ur-mCnc	Arsenic.inorganic [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50814-3	Inorg Arsenic Ur-sCnc	Arsenic.inorganic [Moles/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44300-2	Inorg Arsenic/Creat 24h Ur	Arsenic.inorganic/Creatinine [Mass Ratio] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52940-4	Inorg Arsenic/Creat 24h Ur-sRto	Arsenic.inorganic/Creatinine [Molar ratio] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13825-5	Inorg Arsenic/Creat Ur	Arsenic.inorganic/Creatinine [Mass Ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52939-6	Inorg Arsenic/Creat Ur-sRto	Arsenic.inorganic/Creatinine [Molar ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
