Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Babesiosis)	PHVS_LabTestName_Babesiosis	2.16.840.1.114222.4.11.4122	6	lab tests associated with Babesiosis
	Published	07/19/2018	RCMT v13.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
88450-2	B div+MO-1 18S rRNA Bld Ql NAA+non-probe	Babesia divergens+MO-1 strain 18S rRNA gene [Presence] in Blood by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88451-0	B duncani 18S rRNA Bld Ql NAA+non-probe	Babesia duncani 18S rRNA gene [Presence] in Blood by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26622-1	B duncani Ab Ser Ql	Babesia duncani Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43085-0	B duncani Ab Titr Ser	Babesia duncani Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41415-1	B duncani Ab Titr Ser IF	Babesia duncani Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88452-8	B microti 18S rRNA Bld Ql NAA+non-probe	Babesia microti 18S rRNA gene [Presence] in Blood by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88728-1	B microti IgG+IgM Pnl Ser IF	Babesia microti IgG and IgM panel - Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88700-0	B microti IgG+IgM Ser-Imp	Babesia microti IgG and IgM [Interpretation] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22855-1	Bab divergens Ab Ser Ql	Babesia divergens Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23665-3	Bab divergens Ab Ser Ql CF	Babesia divergens Ab [Presence] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22854-4	Bab divergens Ab Ser Ql IF	Babesia divergens Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43086-8	Bab divergens Ab Titr Ser	Babesia divergens Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41413-6	Bab divergens Ab Titr Ser IF	Babesia divergens Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6311-5	Bab microti Ab Ser IA-aCnc	Babesia microti Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43918-2	Bab microti Ab Ser Ql	Babesia microti Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7812-1	Bab microti Ab Ser-aCnc	Babesia microti Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16427-7	Bab microti Ab Titr Ser	Babesia microti Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41414-4	Bab microti Ab Titr Ser IF	Babesia microti Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10347-3	Bab microti Bld Smear	Babesia microti identified in Blood by Light microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21089-8	Bab microti DNA Bld Ql NAA+probe	Babesia microti DNA [Presence] in Blood by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47396-7	Bab microti DNA XXX Ql NAA+probe	Babesia microti DNA [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43893-7	Bab microti IgG Ser Ql	Babesia microti IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82747-7	Bab microti IgG Ser Ql IB	Babesia microti IgG Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31244-7	Bab microti IgG Ser-aCnc	Babesia microti IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47071-6	Bab microti IgG Titr CSF	Babesia microti IgG Ab [Titer] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16117-4	Bab microti IgG Titr Ser	Babesia microti IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34940-7	Bab microti IgG+IgM Pnl Ser	Babesia microti IgG and IgM panel - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60521-2	Bab microti IgG+IgM Ser Ql	Babesia microti IgG+IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27965-3	Bab microti IgM Ser Ql	Babesia microti IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31245-4	Bab microti IgM Ser-aCnc	Babesia microti IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47073-2	Bab microti IgM Titr CSF	Babesia microti IgM Ab [Titer] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16118-2	Bab microti IgM Titr Ser	Babesia microti IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
89342-0	Babesia 18S rRNA Bld Ql NAA+probe	Babesia sp 18S rRNA [Presence] in Blood by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43926-5	Babesia Ab Ser Ql	Babesia sp Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7813-9	Babesia Ab Ser-aCnc	Babesia sp Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22106-9	Babesia Ab Titr Ser	Babesia sp Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
