Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Berylliosis)	PHVS_LabTestName_Berylliosis	2.16.840.1.114222.4.11.4241	3	lab tests associated with Berylliosis (Chronic Beryllium Disease)
	Published	08/31/2019	Value set updated based on RCMT v12 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
80210-8	Beryllium Fld-mCnc	Beryllium [Mass/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80211-6	Beryllium Fld-sCnc	Beryllium [Moles/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
78810-9	Beryllium Tiss-sCnt	Beryllium [Moles/mass] in Tissue		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49676-0	LPT 1 umol Be 5D Bld-Rto	Lymphocyte proliferation stimulated by 1 umol beryllium [Ratio] in Blood --5 days post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49677-8	LPT 1 umol Be 7D Bld-Rto	Lymphocyte proliferation stimulated by 1 umol beryllium [Ratio] in Blood --7 day post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49674-5	LPT 10 umol Be 5D Bld-Rto	Lymphocyte proliferation stimulated by 10 umol beryllium [Ratio] in Blood --5 days post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49917-8	LPT 10 umol Be 6D WBC-Rto	Lymphocyte proliferation stimulated by 10 umol beryllium [Ratio] in Leukocytes --6 days post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49675-2	LPT 10 umol Be 7D Bld-aCnc	Lymphocyte proliferation stimulated by 10 umol beryllium [Units/volume] in Blood --7 day post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48661-3	LPT 100 umol Be 5D Bld-Rto	Lymphocyte proliferation stimulated by 100 umol beryllium [Ratio] in Blood --5 days post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50178-3	LPT 100 umol Be 6D Bld-Rto	Lymphocyte proliferation stimulated by 100 umol beryllium [Ratio] in Blood --6 days post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49673-7	LPT 100 umol Be 7D Bld-Rto	Lymphocyte proliferation stimulated by 100 umol beryllium [Ratio] in Blood --7 day post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49885-7	LPT Be Pnl Bld	Lymphocyte proliferation.beryllium stimulation panel - Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
