Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Botulism)	PHVS_LabTestName_Botulism	2.16.840.1.114222.4.11.4125	5	lab tests associated with Botulism
	Published	07/19/2018	RCMT v13.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
80518-4	C baratii F bont gene XXX Ql NAA+probe	Clostridium baratii toxin F bont gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80827-9	C bot + C baratii toxn Pnl XXX NAA+probe	Clostridium botulinum and Clostridium baratii toxins gene panel - Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33695-8	C bot Islt Ql Cult	Clostridium botulinum [Presence] in Isolate by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87948-6	C bot Stl Ql Cult	Clostridium botulinum [Presence] in Stool by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33709-7	C bot Tox A XXX Ql	Clostridium botulinum toxin A [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41630-5	C bot Tox A XXX Ql IF	Clostridium botulinum toxin A [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33701-4	C bot Tox A XXX Ql MA Nt	Clostridium botulinum toxin A [Presence] in Unspecified specimen by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33712-1	C bot Tox ABE XXX Ql	Clostridium botulinum toxin A+B+E [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33704-8	C bot Tox ABE XXX Ql MA Nt	Clostridium botulinum toxin A+B+E [Presence] in Unspecified specimen by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38989-0	C bot Tox ABEFG XXX Ql MA Nt	Clostridium botulinum toxin A+B+E+F+G [Presence] in Unspecified specimen by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33713-9	C bot Tox B XXX Ql	Clostridium botulinum toxin B [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41632-1	C bot Tox B XXX Ql IF	Clostridium botulinum toxin B [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33705-5	C bot Tox B XXX Ql MA Nt	Clostridium botulinum toxin B [Presence] in Unspecified specimen by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33710-5	C bot Tox E XXX Ql	Clostridium botulinum toxin E [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41634-7	C bot Tox E XXX Ql IF	Clostridium botulinum toxin E [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33702-2	C bot Tox E XXX Ql MA Nt	Clostridium botulinum toxin E [Presence] in Unspecified specimen by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33711-3	C bot Tox F XXX Ql	Clostridium botulinum toxin F [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41635-4	C bot Tox F XXX Ql IF	Clostridium botulinum toxin F [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33703-0	C bot Tox F XXX Ql MA Nt	Clostridium botulinum toxin F [Presence] in Unspecified specimen by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
46705-0	C bot Tox gene XXX NAA+probe	Clostridium botulinum toxin gene [Identifier] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20705-0	C bot Tox Ser Anim Inoc	Clostridium botulinum toxin [Identifier] in Serum by Animal inoculation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88589-7	C bot Tox Ser MA Nt	Clostridium botulinum toxin [Identifier] in Serum by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88578-0	C bot Tox Stl MA Nt	Clostridium botulinum toxin [Identifier] in Stool by Mouse bioassay neutralization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11470-2	C bot Tox Stl-aCnc	Clostridium botulinum toxin [Units/volume] in Stool		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44796-1	C bot Tox XXX	Clostridium botulinum toxin [Identifier] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20706-8	C bot Tox XXX Anim Inoc	Clostridium botulinum toxin [Identifier] in Unspecified specimen by Animal inoculation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44274-9	C bot Tox XXX IA	Clostridium botulinum toxin [Identifier] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33708-9	C bot Tox XXX Ql	Clostridium botulinum toxin [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45039-5	C bot Tox XXX Ql IA	Clostridium botulinum toxin [Presence] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33696-6	C bot Tox XXX Ql MA	Clostridium botulinum toxin [Presence] in Unspecified specimen by Mouse bioassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33694-1	C bot XXX Ql Cult	Clostridium botulinum [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41631-3	C botA gene XXX Ql NAA+probe	Clostridium botulinum toxin A botA gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41633-9	C botB gene XXX Ql NAA+probe	Clostridium botulinum toxin B botB gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81644-7	C botC gene XXX Ql NAA+probe	Clostridium botulinum toxin C botC gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81645-4	C botD gene XXX Ql NAA+probe	Clostridium botulinum toxin D botD gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81646-2	C botE gene XXX Ql NAA+probe	Clostridium botulinum toxin E botE gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81647-0	C botF gene XXX Ql NAA+probe	Clostridium botulinum toxin F botF gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81648-8	C botG gene XXX Ql NAA+probe	Clostridium botulinum toxin G botG gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
