Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Clostridium perfringens)	PHVS_LabTestName_ClostridiumPerfringens	2.16.840.1.114222.4.11.4133	3	lab tests associated with Clostridium perfringens
	Published	04/13/2018	RCMT V13

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
87313-3	C perfrin iota tox DNA Islt Ql NAA+probe	Clostridium perfringens iota toxin DNA [Presence] in Isolate by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87304-2	C perfringens cpa gene Islt Ql NAA+probe	Clostridium perfringens cpa gene [Presence] in Isolate by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87397-6	C perfringens cpb gene Islt Ql NAA+probe	Clostridium perfringens cpb gene [Presence] in Isolate by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87305-9	C perfringens cpb2 gen Islt Ql NAA+probe	Clostridium perfringens cpb2 gene [Presence] in Isolate by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20799-3	C perfringens Etx Fld Ql	Clostridium perfringens enterotoxin [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20800-9	C perfringens Etx Fsmi Ql	Clostridium perfringens enterotoxin [Presence] in Small intestine Fixed		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87307-5	C perfringens etx gene Islt Ql NAA+probe	Clostridium perfringens etx gene [Presence] in Isolate by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20798-5	C perfringens Etx Tiss Ql	Clostridium perfringens enterotoxin [Presence] in Tissue		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32369-1	C perfringens Etx XXX	Clostridium perfringens enterotoxin [Identifier] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20764-7	C perfringens Gentyp Islt	Clostridium perfringens genotype [Identifier] in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26767-4	C perfringens IgG Ser-aCnc	Clostridium perfringens IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26768-2	C perfringens IgM Ser-aCnc	Clostridium perfringens IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
46706-8	C perfringens Tox gene XXX NAA+probe	Clostridium perfringens toxin gene [Identifier] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87306-7	cpe gene Islt Ql NAA+probe	Clostridium perfringens cpe gene [Presence] in Isolate by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
