Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Coccidioidomycosis)	PHVS_LabTestName_Coccidioidomycosis	2.16.840.1.114222.4.11.4134	8	lab tests associated with Coccidioidomycosis
	Published	08/31/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
22204-2	C immitis Ab CSF Ql	Coccidioides immitis Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30209-1	C immitis Ab CSF Ql CF	Coccidioides immitis Ab [Presence] in Cerebral spinal fluid by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21209-2	C immitis Ab CSF Ql ID	Coccidioides immitis Ab [Presence] in Cerebral spinal fluid by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16634-8	C immitis Ab CSF-aCnc	Coccidioides immitis Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31309-8	C immitis Ab Fld Ql	Coccidioides immitis Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31048-2	C immitis Ab Fld Ql CF	Coccidioides immitis Ab [Presence] in Body fluid by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5094-8	C immitis Ab Ser IA-aCnc	Coccidioides immitis Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22205-9	C immitis Ab Ser Ql	Coccidioides immitis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20768-8	C immitis Ab Ser Ql CF	Coccidioides immitis Ab [Presence] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40712-2	C immitis Ab Ser Ql IA	Coccidioides immitis Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5095-5	C immitis Ab Ser Ql ID	Coccidioides immitis Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22206-7	C immitis Ab Ser-aCnc	Coccidioides immitis Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22207-5	C immitis Ab Titr CSF	Coccidioides immitis Ab [Titer] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13917-0	C immitis Ab Titr CSF CF	Coccidioides immitis Ab [Titer] in Cerebral spinal fluid by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51452-1	C immitis Ab Titr Fld	Coccidioides immitis Ab [Titer] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48392-5	C immitis Ab Titr Fld CF	Coccidioides immitis Ab [Titer] in Body fluid by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43053-8	C immitis Ab Titr Plr	Coccidioides immitis Ab [Titer] in Pleural fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42494-5	C immitis Ab Titr Plr CF	Coccidioides immitis Ab [Titer] in Pleural fluid by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22208-3	C immitis Ab Titr Ser	Coccidioides immitis Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5096-3	C immitis Ab Titr Ser CF	Coccidioides immitis Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26980-3	C immitis Ab Titr Ser ID	Coccidioides immitis Ab [Titer] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6368-5	C immitis Ab Titr Ser LA	Coccidioides immitis Ab [Titer] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38385-1	C immitis Ag CSF Ql	Coccidioides immitis Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31782-6	C immitis Ag Islt Ql	Coccidioides immitis Ag [Presence] in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14205-9	C immitis Ag Islt Ql ID	Coccidioides immitis Ag [Presence] in Isolate by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62455-1	C immitis F Ab Ser Ql ID	Coccidioides sp F Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16636-3	C immitis IgA CSF-aCnc	Coccidioides immitis IgA Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16635-5	C immitis IgA Ser IA-aCnc	Coccidioides immitis IgA Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9705-5	C immitis IgA Ser-aCnc	Coccidioides immitis IgA Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88745-5	C immitis IgG + IgM Pnl CSF	Coccidioides immitis IgG and IgM panel - Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87435-4	C immitis IgG + IgM Pnl SerPl	Coccidioides immitis IgG and IgM panel - Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30207-5	C immitis IgG CSF Ql	Coccidioides immitis IgG Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
57946-6	C immitis IgG CSF Ql CF	Coccidioides immitis IgG Ab [Presence] in Cerebral spinal fluid by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16638-9	C immitis IgG CSF-aCnc	Coccidioides immitis IgG Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22209-1	C immitis IgG Ser Ql	Coccidioides immitis IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13947-7	C immitis IgG Ser Ql IA	Coccidioides immitis IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62459-3	C immitis IgG Ser Ql ID	Coccidioides immitis IgG Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7826-1	C immitis IgG Ser-aCnc	Coccidioides immitis IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43380-5	C immitis IgG XXX-aCnc	Coccidioides immitis IgG Ab [Units/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30208-3	C immitis IgM CSF Ql	Coccidioides immitis IgM Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16639-7	C immitis IgM CSF-aCnc	Coccidioides immitis IgM Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48393-3	C immitis IgM Fld-aCnc	Coccidioides immitis IgM Ab [Units/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22210-9	C immitis IgM Ser Ql	Coccidioides immitis IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13948-5	C immitis IgM Ser Ql IA	Coccidioides immitis IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62458-5	C immitis IgM Ser Ql ID	Coccidioides immitis IgM Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7827-9	C immitis IgM Ser-aCnc	Coccidioides immitis IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33534-9	C immitis IgM XXX Ql	Coccidioides immitis IgM Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33510-9	C immitis IgM XXX Ql IA	Coccidioides immitis IgM Ab [Presence] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20767-0	C immitis Islt Ql	Coccidioides immitis [Presence] in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
