Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Cysticercosis)	PHVS_LabTestName_Cysticercosis	2.16.840.1.114222.4.11.4140	5	lab tests associated with Cysticercosis
	Published	07/19/2018	RCMT v13.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
29513-9	Deprecated Cysticercus Ab CSF-aCnc	Deprecated Taenia solium larva Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22570-6	Deprecated T sol Ab SerPl-aCnc	Deprecated Taenia solium adult Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
58455-7	T sol Ab CSF Ql IA	Taenia solium Ab [Presence] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5375-1	T sol adult Ab Ser IA-aCnc	Taenia solium adult Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10719-3	T sol adult Ab Ser IB-aCnc	Taenia solium adult Ab [Units/volume] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8037-4	T sol adult Ab Ser-aCnc	Taenia solium adult Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48804-9	T sol Ag Stl Ql	Taenia solium Ag [Presence] in Stool		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56486-4	T sol IgG Ser IA-aCnc	Taenia solium IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44804-3	T sol IgG Ser IB-aCnc	Taenia solium IgG Ab [Units/volume] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56485-6	T sol IgG Ser Ql IA	Taenia solium IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
57455-8	T sol IgG Ser-aCnc	Taenia solium IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56665-3	T sol IgG Titr Ser IF	Taenia solium IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9602-4	T sol lar 14kD Ab Ser Ql IB	Taenia solium larva 14kD Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9603-2	T sol lar 18kD Ab Ser Ql IB	Taenia solium larva 18kD Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9604-0	T sol lar 21kD Ab Ser Ql IB	Taenia solium larva 21kD Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9605-7	T sol lar 24kD Ab Ser Ql IB	Taenia solium larva 24kD Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9606-5	T sol lar 39-42kD Ab Ser Ql IB	Taenia solium larva 39-42kD Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9607-3	T sol lar 50kD Ab Ser Ql IB	Taenia solium larva 50kD Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49798-2	T sol lar Ab CSF IA-aCnc	Taenia solium larva Ab [Units/volume] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56480-7	T sol lar Ab CSF Ql IA	Taenia solium larva Ab [Presence] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35349-0	T sol lar Ab CSF Ql IB	Taenia solium larva Ab [Presence] in Cerebral spinal fluid by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16708-0	T sol lar Ab CSF-aCnc	Taenia solium larva Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5120-1	T sol lar Ab Ser HA-aCnc	Taenia solium larva Ab [Units/volume] in Serum by Hemagglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22238-0	T sol lar Ab Ser Ql	Taenia solium larva Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56984-8	T sol lar Ab Ser Ql IA	Taenia solium larva Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9600-8	T sol lar Ab Ser Ql IB	Taenia solium larva Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7850-1	T sol lar Ab Ser-aCnc	Taenia solium larva Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41462-3	T sol lar Ab XXX Ql IB	Taenia solium larva Ab [Presence] in Unspecified specimen by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88920-4	T sol lar Ag Ser Ql IA	Taenia solium larva Ag [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53602-9	T sol lar Ag Ser-aCnc	Taenia solium larva Ag [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
