Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Diabetes, hemoglobin A1c)	PHVS_LabTestName_DiabetesHemoglobinA1c	2.16.840.1.114222.4.11.4239	4	lab tests associated with Diabetes, hemoglobin A1c
	Published	06/16/2011	v4

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
4637-5	Deprecated Hgb.glycated Bld Qn	Deprecated Hemoglobin A1/Hemoglobin.total in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74246-0	HEDIS 2014 HbA1c	HEDIS 2014 Value Set - HbA1c Tests		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55454-3	Hgb A1c Bld	Hemoglobin A1c in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41995-2	Hgb A1c Bld-mCnc	Hemoglobin A1c [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
4548-4	Hgb A1c MFr Bld	Hemoglobin A1c/Hemoglobin.total in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17855-8	Hgb A1c MFr Bld Calc	Hemoglobin A1c/Hemoglobin.total in Blood by calculation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
4549-2	Hgb A1c MFr Bld Elph	Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17856-6	Hgb A1c MFr Bld HPLC	Hemoglobin A1c/Hemoglobin.total in Blood by HPLC		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62388-4	Hgb A1c MFr Bld JDS/JSCC	Hemoglobin A1c/Hemoglobin.total in Blood by JDS/JSCC protocol		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71875-9	Hgb A1c MFr.DF Bld	Hemoglobin A1c/Hemoglobin.total [Pure mass fraction] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59261-8	Hgb A1c SFr Bld IFCC	Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
