Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Ehrlichiosis Anaplasmosis)	PHVS_LabTestName_EhrlichiosisAnaplasmosis	2.16.840.1.114222.4.11.4148	2	lab tests associated with Ehrlichiosis Anaplasmosis
	Published	04/13/2018	RCMT V13

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
87548-4	A phag+Ehrl sp DNA Pnl Bld NAA+non-probe	Anaplasma phagocytophilum and Ehrlichia sp DNA panel - Blood Qualitative by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7879-0	Ehrlichia Ab Ser Ql	Ehrlichia sp Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6405-5	Ehrlichia Ab Ser Ql IA	Ehrlichia sp Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43039-7	Ehrlichia Ab Titr Ser	Ehrlichia sp Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34285-7	Ehrlichia Ab Titr Ser CF	Ehrlichia sp Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48866-8	Ehrlichia DNA XXX Ql NAA+probe	Ehrlichia sp DNA [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13196-1	Ehrlichia IgG Ser Ql	Ehrlichia sp IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32011-9	Ehrlichia IgG Titr Ser	Ehrlichia sp IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13197-9	Ehrlichia IgM Ser Ql	Ehrlichia sp IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32012-7	Ehrlichia IgM Titr Ser	Ehrlichia sp IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48873-4	Ehrlichia XXX Cult	Ehrlichia sp identified in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48982-3	Ehrlichia XXX Ql Micro	Ehrlichia sp [Presence] in Unspecified specimen by Light microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49125-8	Ehrlichia XXX Seq	Ehrlichia sp identified in Unspecified specimen by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
