Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Fungus)	PHVS_LabTestName_Fungus	2.16.840.1.114222.4.11.4252	8	lab tests associated with Fungus
	Published	08/31/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
92805-1	Blood fungal pathogens panel	Blood Fungal Pathogens Panel by NAA with probe detection in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10852-2	Deprecated Fungus Bld	Deprecated Fungus identified in Blood by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42809-4	Deprecated Fungus XXX Cult	Deprecated Fungus identified in Unspecified specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76692-3	Fungus # Mouth Cult	Fungus identified [#/volume] in Mouth by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
568-6	Fungus Aspirate Cult	Fungus identified in Aspirate by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88686-1	Fungus BAL Cult	Fungus identified in Bronchoalveolar lavage by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
601-5	Fungus Bld Cult	Fungus identified in Blood by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24009-3	Fungus Bronch Cult	Fungus identified in Bronchial specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32809-6	Fungus Bronch Fungus Stn	Fungus identified in Bronchial specimen by Fungus stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87981-7	Fungus Burn Cult	Fungus identified in Burn by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88143-3	Fungus Corn/Cnjt Cult	Fungus identified in Cornea or Conjunctiva by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
569-4	Fungus CSF Cult	Fungus identified in Cerebral spinal fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87978-3	Fungus DiafP Cult	Fungus identified in Peritoneal dialysis fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
570-2	Fungus Fld Cult	Fungus identified in Body fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33039-9	Fungus Fld Fungus Stn	Fungus identified in Body fluid by Fungus stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87445-3	Fungus Food Ql Cult	Fungus [Presence] in Food by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41026-6	Fungus Genital Cult	Fungus identified in Genital specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
571-0	Fungus Hair Cult	Fungus identified in Hair by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91812-8	Fungus identified	Fungus identified in Upper respiratory specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87976-7	Fungus Implnt dev Cult	Fungus identified in Implant device by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42804-5	Fungus Islt	Fungus identified in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
15378-3	Fungus Islt Cult	Fungus identified in Isolate by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
613-0	Fungus Islt Fungus subtyping	Fungus identified in Isolate by Fungus subtyping		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
