Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (HEDIS)	PHVS_LabTestName_HEDIS	2.16.840.1.114222.4.11.6055	1	The value set is defined as being the set of LOINC 
values used in HEDIS measures. This material is 
drawn from the HEDIS 2008 Electronic Coding Tables 
specification.	Published	08/29/2012	Initial Import for : 060D05FF-F1F1-E111-B875-001A4BE7FA90

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
34530-6	ABO + Rh Pnl Bld	ABO & Rh group panel in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
883-9	ABO Group Bld	ABO group [Type] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
882-1	ABO+Rh Gp Bld	ABO & Rh group [Type] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
884-7	ABO+Rh Gp BldC	ABO & Rh group [Type] in Capillary blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19171-8	AFP Amn-aCnc	Alpha-1-Fetoprotein [Units/volume] in Amniotic Fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1832-5	AFP Amn-mCnc	Alpha-1-Fetoprotein [Mass/volume] in Amniotic Fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
15019-3	AFP Amn-sCnc	Alpha-1-Fetoprotein [Molecules/volume] in Amniotic Fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31993-9	AFP SerPl Ql	Alpha-1-Fetoprotein [Presence] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19176-7	AFP SerPl-aCnc	Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1834-1	AFP SerPl-mCnc	Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19177-5	AFP SerPl-sCnc	Alpha-1-Fetoprotein [Molecules/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21059-1	Albumin 24H Ur-mCnc	Albumin [Mass/volume] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1755-8	Albumin 24H Ur-mRate	Albumin [Mass/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1757-4	Albumin Cl 24H Ur+SerPl-vRate	Albumin renal clearance in 24 hour		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1753-3	Albumin Ur Ql	Albumin [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1754-1	Albumin Ur-mCnc	Albumin [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13705-9	Albumin/creat 24H Ur-mRto	Albumin/Creatinine [Mass ratio] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20621-9	Albumin/creat Ur Ql Strip	Albumin/Creatinine [Presence] in Urine by Test strip		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9318-7	Albumin/creat Ur-mRto	Albumin/Creatinine [Mass ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32294-1	Albumin/creat Ur-Rto	Albumin/Creatinine [Ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
626-2	Bacteria Throat Cult	Bacteria identified in Throat by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24320-4	Bas Metab HCFA 1998 Pnl SerPl	Basic metabolic HCFA 1998 panel in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24321-2	Bas Metab HCFA 2000 Pnl SerPl	Basic metabolic HCFA 2000 panel in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2113-9	B-HCG 24H Ur-mRate	Choriogonadotropin.beta subunit [Mass/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19180-9	B-HCG Free SerPl-aCnc	Choriogonadotropin.beta subunit free [Units/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25373-2	B-HCG Free SerPl-mCnc	Choriogonadotropin.beta subunit free [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2115-4	B-HCG Free SerPl-sCnc	Choriogonadotropin.beta subunit free [Molecules/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20415-6	B-HCG SerPl EIA 3rd IS-aCnc	Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma by Immunoassay (EIA) 3rd IS		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2110-5	B-HCG SerPl Ql	Choriogonadotropin.beta subunit [Presence] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21198-7	B-HCG SerPl-aCnc	Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2111-3	B-HCG SerPl-sCnc	Choriogonadotropin.beta subunit [Molecules/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2112-1	B-HCG Ur Ql	Choriogonadotropin.beta subunit [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2114-7	B-HCG Ur-sCnc	Choriogonadotropin.beta subunit [Molecules/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12966-8	BUN 2H spec SerPl-mCnc	Urea nitrogen [Mass/volume] in Serum or Plasma --2 hour specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12965-0	BUN 70M spec SerPl-mCnc	Urea nitrogen [Mass/volume] in Serum or Plasma --70 minute specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6299-2	BUN Bld-mCnc	Urea nitrogen [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12964-3	BUN BS Bld-mCnc	Urea nitrogen [Mass/volume] in Blood –baseline		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11064-3	BUN p dialysis SerPl-mCnc	Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11065-0	BUN pre dial SerPl-mCnc	Urea nitrogen [Mass/volume] in Serum or Plasma --pre dialysis		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
3094-0	BUN SerPl-mCnc	Urea nitrogen [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14937-7	BUN SerPl-sCnc	Urea nitrogen [Molecules/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31771-9	C trach Ag Cervix Ql	Chlamydia trachomatis Ag [Presence] in Cervix		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14470-9	C trach Ag Cervix Ql EIA	Chlamydia trachomatis Ag [Presence] in Cervix by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14509-4	C trach Ag Cervix Ql IF	Chlamydia trachomatis Ag [Presence] in Cervix by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31775-0	C trach Ag UrnS Ql	Chlamydia trachomatis Ag [Presence] in Urine sediment		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14474-1	C trach Ag UrnS Ql EIA	Chlamydia trachomatis Ag [Presence] in Urine sediment by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14513-6	C trach Ag UrnS Ql IF	Chlamydia trachomatis Ag [Presence] in Urine sediment by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31772-7	C trach Ag Vag Ql	Chlamydia trachomatis Ag [Presence] in Vaginal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14471-7	C trach Ag Vag Ql EIA	Chlamydia trachomatis Ag [Presence] in Vaginal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14510-2	C trach Ag Vag Ql IF	Chlamydia trachomatis Ag [Presence] in Vaginal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31777-6	C trach Ag XXX Ql	Chlamydia trachomatis Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6354-5	C trach Ag XXX Ql EIA	Chlamydia trachomatis Ag [Presence] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6355-2	C trach Ag XXX Ql IF	Chlamydia trachomatis Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14463-4	C trach Cervix Ql Cult	Chlamydia trachomatis [Presence] in Cervix by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21189-6	C trach DNA Cerv mucus Ql PCR	Chlamydia trachomatis DNA [Presence] in Cervical mucus by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21190-4	C trach DNA Cervix Ql PCR	Chlamydia trachomatis DNA [Presence] in Cervix by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6356-0	C trach DNA Genital Ql PCR	Chlamydia trachomatis DNA [Presence] in Genital specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6357-8	C trach DNA Ur Ql PCR	Chlamydia trachomatis DNA [Presence] in Urine by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21191-2	C trach DNA Urth Ql PCR	Chlamydia trachomatis DNA [Presence] in Urethra by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43404-3	C trach DNA XXX Ql bDNA	Chlamydia trachomatis DNA [Presence] in Unspecified specimen by Probe & signal amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21613-5	C trach DNA XXX Ql PCR	Chlamydia trachomatis DNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23838-6	C trach rRNA Genital fl Ql Prb	Chlamydia trachomatis rRNA [Presence] in Genital fluid by DNA probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16600-9	C trach rRNA Genital Ql Prb	Chlamydia trachomatis rRNA [Presence] in Genital specimen by DNA probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42931-6	C trach rRNA Ur Ql PCR DL=50	Chlamydia trachomatis rRNA [Presence] in Urine by Probe & target amplification method detection limit = 50 iU/mL		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16601-7	C trach rRNA Ur Ql Prb	Chlamydia trachomatis rRNA [Presence] in Urine by DNA probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21192-0	C trach rRNA Urth Ql Prb	Chlamydia trachomatis rRNA [Presence] in Urethra by DNA probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43304-5	C trach rRNA XXX Ql PCR	Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
4993-2	C trach rRNA XXX Ql Prb	Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by DNA probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14467-5	C trach UrnS Ql Cult	Chlamydia trachomatis [Presence] in Urine sediment by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14464-2	C trach Vag Ql Cult	Chlamydia trachomatis [Presence] in Vaginal fluid by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6349-5	C trach XXX Ql Cult	Chlamydia trachomatis [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
36903-3	C trach+GC DNA XXX PCR	Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Identifier] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43406-8	C trach+GC DNA XXX Ql bDNA	Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by Probe & signal amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
36902-5	C trach+GC DNA XXX Ql PCR	Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29148-4	Carbamazepine Bnd SerPl-mCnc	Carbamazepine.bound [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29147-6	Carbamazepine EP Bnd SerPl-mCnc	Carbamazepine 10,11-Epoxide.bound [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14056-6	Carbamazepine EP Free SerPl-mCnc	Carbamazepine 10,11-epoxide free [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
