Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Hantavirus Infection)	PHVS_LabTestName_HantavirusInfection	2.16.840.1.114222.4.11.7542	4	lab tests associated with Hantavirus Infection	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
70055-9	H dobrova IgG SerPl Ql IF	Hantavirus dobrova IgG Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70054-2	H dobrova IgM SerPl Ql IF	Hantavirus dobrova IgM Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70056-7	H saaremaa IgG SerPl Ql IF	Hantavirus saaremaa IgG Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70057-5	H saaremaa IgM SerPl Ql IF	Hantavirus saaremaa IgM Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70060-9	H seoul IgG SerPl Ql IF	Hantavirus seoul IgG Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42503-3	Hantavirus Ab Ser Ql	Hantavirus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5046-8	Hantavirus Ab Ser-aCnc	Hantavirus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60264-9	Hantavirus Ab Titr Ser	Hantavirus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
65762-7	Hantavirus Ag Tiss Ql ImStn	Hantavirus Ag [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26620-5	Hantavirus IgG Ser Ql	Hantavirus IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35392-0	Hantavirus IgG Ser-aCnc	Hantavirus IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32131-5	Hantavirus IgM Ser Ql	Hantavirus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35393-8	Hantavirus IgM Ser-aCnc	Hantavirus IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86520-4	Hantavirus RNA Bld Ql NAA+probe	Hantavirus RNA [Presence] in Blood by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86536-0	Hantavirus RNA CSF Ql NAA+probe	Hantavirus RNA [Presence] in Cerebral spinal fluid by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91130-5	Hantavirus RNA Lower Resp Ql NAA+probe	Hantavirus RNA [Presence] in Lower respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7899-8	Hantavirus RNA Ser Ql NAA+probe	Hantavirus RNA [Presence] in Serum by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86537-8	Hantavirus RNA Tiss Ql NAA+probe	Hantavirus RNA [Presence] in Tissue by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86538-6	Hantavirus RNA Ur Ql NAA+probe	Hantavirus RNA [Presence] in Urine by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13289-4	HTNV Ab Ser-aCnc	Hantavirus hantaan Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7895-6	HTNV IgG Ser-aCnc	Hantavirus hantaan IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70052-6	HTNV IgG SerPl Ql IF	Hantavirus hantaan IgG Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7896-4	HTNV IgM Ser-aCnc	Hantavirus hantaan IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70053-4	HTNV IgM SerPl Ql IF	Hantavirus hantaan IgM Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7897-2	PUUV IgG Ser-aCnc	Hantavirus puumala IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70059-1	PUUV IgG SerPl Ql IF	Hantavirus puumala IgG Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22308-1	PUUV IgG Titr Ser	Hantavirus puumala IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21322-3	PUUV IgG Titr Ser IF	Hantavirus puumala IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16928-4	PUUV IgG+IgM Ser-aCnc	Hantavirus puumala IgG+IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7898-0	PUUV IgM Ser-aCnc	Hantavirus puumala IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70058-3	PUUV IgM SerPl Ql IF	Hantavirus puumala IgM Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22309-9	PUUV IgM Titr Ser	Hantavirus puumala IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21323-1	PUUV IgM Titr Ser IF	Hantavirus puumala IgM Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88220-9	PUUV RNA Bld Ql NAA+probe	Hantavirus puumala RNA [Presence] in Blood by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88216-7	PUUV RNA Ur Ql NAA+probe	Hantavirus puumala RNA [Presence] in Urine by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
