Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Hepatitis B)	PHVS_LabTestName_HepatitisB	2.16.840.1.114222.4.11.4158	11	lab tests associated with Hepatitis B
	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
92889-5	Chronic hepatitis differentiation between B & C virus panel	Chronic hepatitis differentiation between hepatitis B and C virus panel - Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13126-8	Deprecated HBV DNA Bld Ql IB	Deprecated Hepatitis B virus DNA [Presence] in Blood by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48659-7	Deprecated HBV preC codon 28 Ser PCR	Deprecated Hepatitis B virus precore codon 28 [Identifier] in Serum by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45159-1	HBV & HDV Ab Ser-Imp	Hepatitis B virus and Hepatitis D virus Ab [Interpretation] in Serum Narrative		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72849-3	HBV 169 Islt Genotyp	Hepatitis B virus codon 169 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72848-5	HBV 184 Islt Genotyp	Hepatitis B virus codon 184 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72846-9	HBV 194 Islt Genotyp	Hepatitis B virus codon 194 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72845-1	HBV 202 Islt Genotyp	Hepatitis B virus codon 202 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72844-4	HBV 214 Islt Genotyp	Hepatitis B virus codon 214 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72843-6	HBV 215 Islt Genotyp	Hepatitis B virus codon 215 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72842-8	HBV 233 Islt Genotyp	Hepatitis B virus codon 233 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72841-0	HBV 237 Islt Genotyp	Hepatitis B virus codon 237 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72840-2	HBV 250 Islt Genotyp	Hepatitis B virus codon 250 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72851-9	HBV 84 Islt Genotyp	Hepatitis B virus codon 84 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72850-1	HBV 85 Islt Genotyp	Hepatitis B virus codon 85 [Identifier] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
61161-6	HBV A181T Islt Ql Genotyp	Hepatitis B virus codon A181T [Presence] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
61160-8	HBV A181V Islt Ql Genotyp	Hepatitis B virus codon A181V [Presence] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
61163-2	HBV A194T Islt Ql Genotyp	Hepatitis B virus codon A194T [Presence] by Genotype method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54210-0	HBV BCP Mut Ser PCR	Hepatitis B virus basal core promoter mutation [Identifier] in Serum by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
77190-7	HBV core + surf Ab + surf Ag Pnl Ser	Hepatitis B virus core and surface Ab and surface Ag panel - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39005-4	HBV core Ab Fld Ql	Hepatitis B virus core Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5187-0	HBV core Ab Ser IA-aCnc	Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16933-4	HBV core Ab Ser Ql	Hepatitis B virus core Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5188-8	HBV core Ab Ser RIA-aCnc	Hepatitis B virus core Ab [Units/volume] in Serum by Radioimmunoassay (RIA)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22316-4	HBV core Ab Ser-aCnc	Hepatitis B virus core Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13952-7	HBV core Ab SerPl Ql IA	Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
75378-0	HBV core Ab SerPlBld Ql IA.rapid	Hepatitis B virus core Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10673-2	HBV core Ag Tiss Ql ImStn	Hepatitis B virus core Ag [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13919-6	HBV core IgG Ser IA-aCnc	Hepatitis B virus core IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32685-0	HBV core IgG Ser Ql	Hepatitis B virus core IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40725-4	HBV core IgG Ser Ql IA	Hepatitis B virus core IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22318-0	HBV core IgG Ser-aCnc	Hepatitis B virus core IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51914-0	HBV core IgG+IgM Ser Ql	Hepatitis B virus core IgG+IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
