Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Hepatitis C)	PHVS_LabTestName_HepatitisC	2.16.840.1.114222.4.11.4159	11	lab tests associated with Hepatitis C
	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
92889-5	Chronic hepatitis differentiation between B & C virus panel	Chronic hepatitis differentiation between hepatitis B and C virus panel - Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13125-0	Deprecated HCV C33c Ab SerPl Ql IB	Deprecated Hepatitis C virus c33c Ab [Presence] in Serum by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41996-0	Deprecated HCV DNA SerPl bDNA-Log IU	Deprecated Hepatitis C virus DNA [log units/volume] (viral load) in Serum or Plasma by Probe and signal amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6422-0	Deprecated HCV rRNA XXX Ql Prb	Deprecated Hepatitis C virus rRNA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42506-6	HCV Ab CSF Ql	Hepatitis C virus Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51657-5	HCV Ab Fld Ql	Hepatitis C virus Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39008-8	HCV Ab Fld Ql IB	Hepatitis C virus Ab [Presence] in Body fluid by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24011-9	HCV Ab Patrn Ser IB-Imp	Hepatitis C virus Ab band pattern [Interpretation] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51656-7	HCV Ab s/co Fld	Hepatitis C virus Ab Signal/Cutoff in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48159-8	HCV Ab s/co SerPl IA	Hepatitis C virus Ab Signal/Cutoff in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5198-7	HCV Ab Ser IA-aCnc	Hepatitis C virus Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16128-1	HCV Ab Ser Ql	Hepatitis C virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5199-5	HCV Ab Ser Ql IB	Hepatitis C virus Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22327-1	HCV Ab Ser-aCnc	Hepatitis C virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13955-0	HCV Ab SerPl Ql IA	Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72376-7	HCV Ab SerPlBld Ql IA.rapid	Hepatitis C virus Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56926-9	HCV c1 Ab Ser Ql IB	Hepatitis C virus c1 Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44831-6	HCV c100p+5-1-1 Ab Ser Ql	Hepatitis C virus c100p+5-1-1 Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51649-2	HCV c100p+5-1-1 Ab Ser Ql IB	Hepatitis C virus c100p+5-1-1 Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56927-7	HCV c2 Ab Ser Ql IB	Hepatitis C virus c2 Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44813-4	HCV C22p Ab Ser Ql IB	Hepatitis C virus c22p Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22329-7	HCV C33c Ab Ser Ql	Hepatitis C virus c33c Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9610-7	HCV C33c Ab Ser Ql IB	Hepatitis C virus c33c Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
81116-6	HCV core Ab+Ag Ser Ql	Hepatitis C virus core Ab+Ag [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54914-7	HCV core Ag Ser IA-aCnc	Hepatitis C virus core Ag [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
79189-7	HCV core Ag SerPl Ql IA	Hepatitis C virus core Ag [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56928-5	HCV E2 Ab Ser Ql IB	Hepatitis C virus E2 Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82381-5	HCV Genotyp 1 NS5b Mut Det Islt	Hepatitis C virus genotype 1 NS5b gene mutations detected [Identifier]		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82380-7	HCV Gentyp 1 NS5a Mut Det Islt	Hepatitis C virus genotype 1 NS5a gene mutations detected [Identifier]		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82512-5	HCV Gentyp 1 SerPl PCR	Hepatitis C virus genotype 1 [Type] in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82514-1	HCV Gentyp 3 NS5a Mut Det Islt	Hepatitis C virus genotype 3 NS5a gene mutations detected [Identifier]		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82513-3	HCV Gentyp 3 SerPl Ql PCR	Hepatitis C virus genotype 3 [Presence] in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48574-8	HCV Gentyp Bld PCR	Hepatitis C virus genotype [Identifier] in Blood by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82525-7	HCV Gentyp Pnl	Hepatitis C virus genotype panel		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32286-7	HCV Gentyp SerPl PCR	Hepatitis C virus genotype [Identifier] in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49607-5	HCV Gentyp Tiss PCR	Hepatitis C virus genotype [Identifier] in Tissue by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
