Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Hepatitis E)	PHVS_LabTestName_HepatitisE	2.16.840.1.114222.4.11.4161	8	lab tests associated with Hepatitis E
	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
51653-4	HEV Ab Fld Ql	Hepatitis E virus Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49776-8	HEV Ab Ser IA-aCnc	Hepatitis E virus Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13294-4	HEV Ab Ser Ql	Hepatitis E virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
58936-6	HEV Ab Ser Ql IA	Hepatitis E virus Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51459-6	HEV Ab Ser-aCnc	Hepatitis E virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60430-6	HEV Gentyp Bld PCR	Hepatitis E virus genotype [Identifier] in Blood by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14211-7	HEV IgG Ser Ql	Hepatitis E virus IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49693-5	HEV IgG Ser Ql IA	Hepatitis E virus IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56513-5	HEV IgG SerPl IA-aCnc	Hepatitis E virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35680-8	HEV IgG+IgM Pnl Ser	Hepatitis E virus IgG and IgM panel - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14212-5	HEV IgM Ser Ql	Hepatitis E virus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51798-7	HEV IgM Ser-aCnc	Hepatitis E virus IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
83128-9	HEV IgM SerPl Ql IA	Hepatitis E virus IgM Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
69577-5	HEV RNA Bld Ql PCR	Hepatitis E virus RNA [Presence] in Blood by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
69961-1	HEV RNA SerPl PCR-aCnc	Hepatitis E virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
78750-7	HEV RNA SerPl PCR-Log IU	Hepatitis E virus RNA [log units/volume] (viral load) in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90460-7	HEV RNA SerPl Ql NAA+probe	Hepatitis E virus RNA [Presence] in Serum or Plasma by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91071-1	HEV RNA Stl Ql NAA+probe	Hepatitis E virus RNA [Presence] in Stool by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
