Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Histoplasmosis)	PHVS_LabTestName_Histoplasmosis	2.16.840.1.114222.4.11.4163	7	lab tests associated with Histoplasmosis
	Published	09/19/2019	RCMT v14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
81653-8	B dermati drk1 + H capsul gapdh XXX PCR	Blastomyces dermatitidis (drk1) and Histoplasma capsulatum (gapdh) genes [Identifier] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40777-5	Deprecated Histoplasma Ab CSF Ql	Deprecated Histoplasma capsulatum Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26641-1	Deprecated Histoplasma Ab Ser Ql	Deprecated Histoplasma capsulatum Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23748-7	Deprecated Histoplasma Ab Ser Ql ID	Deprecated Histoplasma capsulatum Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31429-4	Deprecated Histoplasma Ab Ser-aCnc	Deprecated Histoplasma capsulatum Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43014-0	Deprecated Histoplasma Ab Titr Ser	Deprecated Histoplasma capsulatum Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33419-3	Deprecated Histoplasma Ag Ser Ql	Deprecated Histoplasma capsulatum Ag [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33420-1	Deprecated Histoplasma Ag Ser-aCnc	Deprecated Histoplasma capsulatum Ag [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32780-9	Deprecated Histoplasma Ag Ur-aCnc	Deprecated Histoplasma capsulatum Ag [Units/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91682-5	H capsul Ab CSF ID	Histoplasma capsulatum Ab [Identifier] in Cerebral spinal fluid by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22345-3	H capsul Ab CSF Ql	Histoplasma capsulatum Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21330-6	H capsul Ab CSF Ql ID	Histoplasma capsulatum Ab [Presence] in Cerebral spinal fluid by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40827-8	H capsul Ab Fld Ql	Histoplasma capsulatum Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43019-9	H capsul Ab Plr Ql	Histoplasma capsulatum Ab [Presence] in Pleural fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42509-0	H capsul Ab Plr Ql ID	Histoplasma capsulatum Ab [Presence] in Pleural fluid by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6426-1	H capsul Ab Ser IA-aCnc	Histoplasma capsulatum Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22346-1	H capsul Ab Ser Ql	Histoplasma capsulatum Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16970-6	H capsul Ab Ser Ql CF	Histoplasma capsulatum Ab [Presence] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44869-6	H capsul Ab Ser Ql CIE	Histoplasma capsulatum Ab [Presence] in Serum by Counterimmunoelectrophoresis (CIE)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44522-1	H capsul Ab Ser Ql IA	Histoplasma capsulatum Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5218-3	H capsul Ab Ser Ql ID	Histoplasma capsulatum Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6427-9	H capsul Ab Ser Ql LA	Histoplasma capsulatum Ab [Presence] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7916-0	H capsul Ab Ser-aCnc	Histoplasma capsulatum Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90232-0	H capsul Ab SerPl ID	Histoplasma capsulatum Ab [Identifier] in Serum or Plasma by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22347-9	H capsul Ab Titr Ser	Histoplasma capsulatum Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5219-1	H capsul Ab Titr Ser CF	Histoplasma capsulatum Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27266-6	H capsul Ab Titr Ser ID	Histoplasma capsulatum Ab [Titer] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53930-4	H capsul Ag BAL IA-aCnc	Histoplasma capsulatum Ag [Units/volume] in Bronchoalveolar lavage by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53931-2	H capsul Ag CSF IA-aCnc	Histoplasma capsulatum Ag [Units/volume] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51754-0	H capsul Ag CSF IA-mCnc	Histoplasma capsulatum Ag [Mass/volume] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40776-7	H capsul Ag CSF Ql	Histoplasma capsulatum Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34158-6	H capsul Ag CSF-aCnc	Histoplasma capsulatum Ag [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
57766-8	H capsul Ag Fld-mCnc	Histoplasma capsulatum Ag [Mass/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6428-7	H capsul Ag Ser IA-aCnc	Histoplasma capsulatum Ag [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51753-2	H capsul Ag Ser IA-mCnc	Histoplasma capsulatum Ag [Mass/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19108-0	H capsul Ag Ser Ql	Histoplasma capsulatum Ag [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44525-4	H capsul Ag Ser Ql IA	Histoplasma capsulatum Ag [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19107-2	H capsul Ag Ser RIA-aCnc	Histoplasma capsulatum Ag [Units/volume] in Serum by Radioimmunoassay (RIA)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31855-0	H capsul Ag Ser-aCnc	Histoplasma capsulatum Ag [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48338-8	H capsul Ag Tiss Ql ImStn	Histoplasma capsulatum Ag [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13971-7	H capsul Ag Ur IA-aCnc	Histoplasma capsulatum Ag [Units/volume] in Urine by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35734-3	H capsul Ag Ur Ql	Histoplasma capsulatum Ag [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44524-7	H capsul Ag Ur Ql IA	Histoplasma capsulatum Ag [Presence] in Urine by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44870-4	H capsul Ag Ur Ql RIA	Histoplasma capsulatum Ag [Presence] in Urine by Radioimmunoassay (RIA)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31856-8	H capsul Ag Ur-aCnc	Histoplasma capsulatum Ag [Units/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48952-6	H capsul Ag Ur-mCnc	Histoplasma capsulatum Ag [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42916-7	H capsul Ag XXX IA-aCnc	Histoplasma capsulatum Ag [Units/volume] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19109-8	H capsul Ag XXX Ql	Histoplasma capsulatum Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34171-9	H capsul Ag XXX-aCnc	Histoplasma capsulatum Ag [Units/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51771-4	H capsul DNA # XXX PCR	Histoplasma capsulatum DNA [#/volume] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88926-1	H capsul DNA Tiss Ql NAA+probe	Histoplasma capsulatum DNA [Presence] in Tissue by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5015-3	H capsul DNA XXX Ql PCR	Histoplasma capsulatum DNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
