Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Jamestown Canyon virus)	PHVS_LabTestName_JamestownCanyonVirus	2.16.840.1.114222.4.11.4166	3	lab tests associated with Jamestown Canyon virus
	Published	12/17/2014	v3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
26642-9	JCV Ab Ser Ql	Jamestown canyon virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74823-6	JCV Ab Ser Ql EIA	Jamestown canyon virus Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31446-8	JCV Ab Ser-aCnc	Jamestown canyon virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43006-6	JCV Ab Titr Ser	Jamestown canyon virus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40507-6	JCV Ab Titr Ser HAI	Jamestown canyon virus Ab [Titer] in Serum by Hemagglutination inhibition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40506-8	JCV Ab Titr Ser IF	Jamestown canyon virus Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29562-6	JCV Ab Titr Ser Nt	Jamestown canyon virus Ab [Titer] in Serum by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41133-0	JCV Ab XXX Ql	Jamestown canyon virus Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30175-4	JCV Ab XXX Ql Nt	Jamestown canyon virus Ab [Presence] in Unspecified specimen by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29801-8	JCV IgG CSF IF-aCnc	Jamestown canyon virus IgG Ab [Units/volume] in Cerebral spinal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29839-8	JCV IgG CSF-aCnc	Jamestown canyon virus IgG Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29814-1	JCV IgG Ser IF-aCnc	Jamestown canyon virus IgG Ab [Units/volume] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29851-3	JCV IgG Ser-aCnc	Jamestown canyon virus IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43005-8	JCV IgG Titr Ser	Jamestown canyon virus IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
