Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Lyme disease)	PHVS_LabTestName_Lyme disease	2.16.840.1.114222.4.11.4170	10	lab tests associated with Lyme disease
	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
87276-2	B afz+burg+gari IgG Ptrn Ser Ln blot	Borrelia afzelii+burgdorferi+garinii Ab.IgG band pattern [Interpretation] in Serum by Line blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87275-4	B afz+burg+gari IgG Ser Ql Line blot	Borrelia afzelii+burgdorferi+garinii IgG Ab [Presence] in Serum by Line blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87274-7	B afz+burg+gari IgG+IgM Pnl Ser Ln blot	Borrelia afzelii+burgdorferi+garinii IgG and IgM panel - Serum by Line blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87278-8	B afz+burg+gari IgM Ptrn Ser Line blot	Borrelia afzelii+burgdorferi+garinii Ab.IgM band pattern [Interpretation] in Serum by Line blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87277-0	B afz+burg+gari IgM Ser Ql Line blot	Borrelia afzelii+burgdorferi+garinii IgM Ab [Presence] in Serum by Line blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48360-2	B afzelii IgG Ser Ql IB	Borrelia afzelii IgG Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60342-3	B burdor IgG pnl Ser IB	Borrelia burgdorferi IgG panel - Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60343-1	B burdor IgM pnl Ser IB	Borrelia burgdorferi IgM panel - Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90893-9	B burg bba64 gene Bld Ql NAA+non-probe	Borrelia burgdorferi bba64 gene [Presence] in Blood by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51744-1	B burgdor 49736 IgA Ser IA-aCnc	Borrelia burgdorferi 49736 IgA Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53362-0	B burgdor 49736 IgA Ser-aCnc	Borrelia burgdorferi 49736 IgA Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51743-3	B burgdor 49736 IgG Ser IA-aCnc	Borrelia burgdorferi 49736 IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51746-6	B burgdor 49736 IgG Ser Ql IB	Borrelia burgdorferi 49736 IgG Ab [Presence] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53363-8	B burgdor 49736 IgG Ser-aCnc	Borrelia burgdorferi 49736 IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51742-5	B burgdor 49736 IgM Ser IA-aCnc	Borrelia burgdorferi 49736 IgM Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53364-6	B burgdor 49736 IgM Ser-aCnc	Borrelia burgdorferi 49736 IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6318-0	B burgdor Ab CSF IA-aCnc	Borrelia burgdorferi Ab [Units/volume] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44453-9	B burgdor Ab CSF IB-aCnc	Borrelia burgdorferi Ab [Units/volume] in Cerebral spinal fluid by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22118-4	B burgdor Ab CSF Ql	Borrelia burgdorferi Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16475-6	B burgdor Ab CSF Ql IA	Borrelia burgdorferi Ab [Presence] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45189-8	B burgdor Ab CSF Ql IF	Borrelia burgdorferi Ab [Presence] in Cerebral spinal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22119-2	B burgdor Ab CSF-aCnc	Borrelia burgdorferi Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6319-8	B burgdor Ab Fld IA-aCnc	Borrelia burgdorferi Ab [Units/volume] in Body fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16477-2	B burgdor Ab Fld Ql	Borrelia burgdorferi Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16476-4	B burgdor Ab Fld Ql IA	Borrelia burgdorferi Ab [Presence] in Body fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22120-0	B burgdor Ab Fld-aCnc	Borrelia burgdorferi Ab [Units/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23833-7	B burgdor Ab Indx Ser+CSF Ql	Borrelia burgdorferi Ab index [Presence] in Serum and CSF		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12781-1	B burgdor Ab Patrn Ser IB-Imp	Borrelia burgdorferi Ab band pattern [Interpretation] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5060-9	B burgdor Ab Ser IA-aCnc	Borrelia burgdorferi Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44452-1	B burgdor Ab Ser IB-aCnc	Borrelia burgdorferi Ab [Units/volume] in Serum by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11006-4	B burgdor Ab Ser Ql	Borrelia burgdorferi Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26006-7	B burgdor Ab Ser Ql HA	Borrelia burgdorferi Ab [Presence] in Serum by Hemagglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20449-5	B burgdor Ab Ser Ql IA	Borrelia burgdorferi Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23676-0	B burgdor Ab Ser Ql IF	Borrelia burgdorferi Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22121-8	B burgdor Ab Ser-aCnc	Borrelia burgdorferi Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9586-9	B burgdor Ab Ser-Imp	Borrelia burgdorferi Ab [Interpretation] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44020-6	B burgdor Ab Snv Ql IB	Borrelia burgdorferi Ab [Presence] in Synovial fluid by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44454-7	B burgdor Ab Snv-aCnc	Borrelia burgdorferi Ab [Units/volume] in Synovial fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44455-4	B burgdor Ab sp1 Ser IA-aCnc	Borrelia burgdorferi Ab [Units/volume] in Serum by Immunoassay --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44456-2	B burgdor Ab sp1 Ser-aCnc	Borrelia burgdorferi Ab [Units/volume] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30128-3	B burgdor Ab sp2 Ser-aCnc	Borrelia burgdorferi Ab [Units/volume] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33932-5	B burgdor Ab Titr CSF	Borrelia burgdorferi Ab [Titer] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22122-6	B burgdor Ab Titr Ser	Borrelia burgdorferi Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43842-4	B burgdor Ab Titr Ser IA	Borrelia burgdorferi Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5061-7	B burgdor Ab Titr Ser IF	Borrelia burgdorferi Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31155-5	B burgdor Ab XXX IA-aCnc	Borrelia burgdorferi Ab [Units/volume] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43077-7	B burgdor Ab XXX-aCnc	Borrelia burgdorferi Ab [Units/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6322-2	B burgdor Ag Ser-aCnc	Borrelia burgdorferi Ag [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29952-9	B burgdor Ag Ur IA-mCnc	Borrelia burgdorferi Ag [Mass/volume] in Urine by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11007-2	B burgdor Ag Ur-aCnc	Borrelia burgdorferi Ag [Units/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31738-8	B burgdor Ag XXX Ql	Borrelia burgdorferi Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23977-2	B burgdor Ag XXX Ql IF	Borrelia burgdorferi Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38174-9	B burgdor C6 Ab CSF IA-aCnc	Borrelia burgdorferi C6 Ab [Units/volume] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43074-4	B burgdor C6 Ab CSF-aCnc	Borrelia burgdorferi C6 Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
