Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Meningococcal Disease)	PHVS_LabTestName_MeningococcalDisease	2.16.840.1.114222.4.11.4176	13	lab tests associated with Meningococcal Disease
	Published	09/18/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
24019-2	Deprecated N men B Ag Ur Ql	Deprecated Neisseria meningitidis B Ag [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49722-2	Deprecated N men type Islt Aggl	Deprecated Neisseria meningitidis type [Identifier] in Isolate by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90072-0	Haemophilus sp & Neisseria sp identified	Haemophilus and Neisseria species identified in Isolate by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86234-2	N men A sacB Ct XXX Qn NAA+probe	Neisseria meningitidis serogroup A sacB gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17322-9	N men Ab Ser Ql	Neisseria meningitidis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17324-5	N men Ag CSF LA-aCnc	Neisseria meningitidis Ag [Units/volume] in Cerebral spinal fluid by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6508-6	N men Ag CSF Ql	Neisseria meningitidis Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31911-1	N men Ag CSF-aCnc	Neisseria meningitidis Ag [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
65763-5	N men Ag Tiss Ql ImStn	Neisseria meningitidis Ag [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17323-7	N men Ag Ur Ql	Neisseria meningitidis Ag [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31912-9	N men Ag XXX Ql	Neisseria meningitidis Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6492-3	N men Ag XXX Ql IF	Neisseria meningitidis Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86235-9	N men B synD Ct XXX Qn NAA+probe	Neisseria meningitidis serogroup B synD gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86236-7	N men C synE Ct XXX Qn NAA+probe	Neisseria meningitidis serogroup C synE gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
86581-6	N men CSF Ql Cult	Neisseria meningitidis [Presence] in Cerebral spinal fluid by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85779-7	N men DNA Bld Pos Ql NAA+non-probe	Neisseria meningitidis DNA [Presence] by NAA with non-probe detection in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53606-0	N men DNA Bld Ql NAA+probe	Neisseria meningitidis DNA [Presence] in Blood by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71788-4	N men DNA XXX NAA+probe	Neisseria meningitidis DNA [Identifier] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49671-1	N men DNA XXX Ql NAA+probe	Neisseria meningitidis DNA [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45183-1	N men Islt Aggl	Neisseria meningitidis [Identifier] in Isolate by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44093-3	N men Islt Cult	Neisseria meningitidis [Identifier] in Isolate by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17331-0	N men Polyval Ab Ser-aCnc	Neisseria meningitidis polyvalent Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17332-8	N men Polyval Ag CSF Ql	Neisseria meningitidis polyvalent Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6509-4	N men rRNA CSF Ql Probe	Neisseria meningitidis rRNA [Presence] in Cerebral spinal fluid by Probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5029-4	N men rRNA XXX Ql Probe	Neisseria meningitidis rRNA [Presence] in Unspecified specimen by Probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85797-9	N men serogroup DNA Pnl XXX NAA+probe	Neisseria meningitidis serogroup DNA panel - Unspecified specimen Qualitative by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70172-2	N men serogroup XXX	Neisseria meningitidis serogroup [Identifier] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
73702-3	N men serosubtyp Islt IA	Neisseria meningitidis serosubtype [Type] in Isolate by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13271-2	N men sg A Ab Ser-aCnc	Neisseria meningitidis serogroup A Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31907-9	N men sg A Ag CSF Ql	Neisseria meningitidis serogroup A Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6493-1	N men sg A Ag CSF Ql IA	Neisseria meningitidis serogroup A Ag [Presence] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17326-0	N men sg A Ag CSF Ql IF	Neisseria meningitidis serogroup A Ag [Presence] in Cerebral spinal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6494-9	N men sg A Ag CSF Ql LA	Neisseria meningitidis serogroup A Ag [Presence] in Cerebral spinal fluid by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
