Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Mercury poisoning)	PHVS_LabTestName_MercuryPoisoning	2.16.840.1.114222.4.11.4249	5	lab tests associated with Mercury poisoning
	Published	02/18/2016	v5 Updated based on RCMT v11 update. See RCMT v11 Release notes in Hot Topics on PHINVADS homepage.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
30921-1	Mercury ?Tm Ur-mCnc	Mercury [Mass/volume] in unspecified time Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21383-5	Mercury 24h Ur-mCnc	Mercury [Mass/volume] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6693-6	Mercury 24h Ur-mRate	Mercury [Mass/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34337-6	Mercury 24h Ur-sCnc	Mercury [Moles/volume] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25471-4	Mercury 24h Ur-sRate	Mercury [Moles/time] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5685-3	Mercury Bld-mCnc	Mercury [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25170-2	Mercury Bld-sCnc	Mercury [Moles/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9693-3	Mercury CSF-mCnc	Mercury [Mass/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12775-3	Mercury Dentin-mCnc	Mercury [Mass/volume] in Dentin		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17255-1	Mercury Dial fld-mCnc	Mercury [Mass/volume] in Dialysis fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20876-9	Mercury Feed-mCnt	Mercury [Mass/mass] in Feed		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29221-9	Mercury Fld-mCnc	Mercury [Mass/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39583-0	Mercury Hair Ql	Mercury [Presence] in Hair		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5686-1	Mercury Hair-mCnt	Mercury [Mass/mass] in Hair		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50876-2	Mercury Hair-sCnt	Mercury [Moles/mass] in Hair		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39584-8	Mercury Nail Ql	Mercury [Presence] in Nail		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8204-0	Mercury Nail-mCnt	Mercury [Mass/mass] in Nail		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
79143-4	Mercury Nail-sCnt	Mercury [Moles/mass] in Nail		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12774-6	Mercury RBC-mCnc	Mercury [Mass/volume] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27130-4	Mercury RBC-mCnt	Mercury [Mass/mass] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50878-8	Mercury RBC-sCnc	Mercury [Moles/volume] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25470-6	Mercury Sal-sCnc	Mercury [Moles/volume] in Saliva (oral fluid)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5687-9	Mercury SerPl-mCnc	Mercury [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32330-3	Mercury SerPl-sCnc	Mercury [Moles/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
28063-6	Mercury sp2 Dentin-mCnc	Mercury [Mass/volume] in Dentin --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8205-7	Mercury Tiss-mCnt	Mercury [Mass/mass] in Tissue		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50877-0	Mercury Tiss-sCnt	Mercury [Moles/mass] in Tissue		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19056-1	Mercury Ur Ql	Mercury [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5688-7	Mercury Ur Ql Visual.Reinsch	Mercury [Presence] in Urine by Visual.Reinsch		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5689-5	Mercury Ur-mCnc	Mercury [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34338-4	Mercury Ur-sCnc	Mercury [Moles/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9479-7	Mercury Wat-mCnc	Mercury [Mass/volume] in Water		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23896-4	Mercury XXX-mCnt	Mercury [Mass/mass] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47121-9	Mercury XXX-sCnt	Mercury [Moles/mass] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26688-2	Mercury/Creat 24h Ur	Mercury/Creatinine [Mass Ratio] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52929-7	Mercury/Creat 24h Ur-sRto	Mercury/Creatinine [Molar ratio] in 24 hour Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13465-0	Mercury/Creat Ur	Mercury/Creatinine [Mass Ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56653-9	Mercury/Creat Ur-Rto	Mercury/Creatinine [Ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22680-3	Mercury/Creat Ur-sRto	Mercury/Creatinine [Molar ratio] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38545-0	Methylmercury Tiss-mCnt	Methylmercury [Mass/mass] in Tissue		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
