Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Norovirus)	PHVS_LabTestName_Norovirus	2.16.840.1.114222.4.11.4183	8	lab tests associated with Norovirus
	Published	07/19/2018	RCMT v14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
80374-2	Adeno + Noro + Rota Ag Pnl Stl EIA.rap	Adenovirus and Norovirus and Rotavirus Ag panel - Stool by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49117-5	Norovirus Ag Stl Ql	Norovirus Ag [Presence] in Stool		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80375-9	Norovirus Ag Stl Ql IA.rapid	Norovirus Ag [Presence] in Stool by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76628-7	Norovirus genogroup I + II RNA Stl PCR	Norovirus genogroup I and II RNA [Identifier] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90449-0	Norovirus GI + GII RNA XXX NAA+probe	Norovirus genogroup I and II RNA [Identifier] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40863-3	Norovirus GI Ag Stl Ql	Norovirus Genogroup I Ag [Presence] in Stool		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54905-5	Norovirus GI RNA Stl Ql PCR	Norovirus Genogroup I RNA [Presence] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90288-2	Norovirus GI RNA Vom Ql NAA+probe	Norovirus Genogroup I RNA [Presence] in Vomitus by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
79388-5	Norovirus GI+II orf1-orf2 jnc Stl Ql PCR	Norovirus genogroup I+II orf1-orf2 junction region [Presence] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
92692-3	Norovirus GI+II RNA Stl Ql NAA+probe	Norovirus genogroup I+II RNA [Presence] in Stool by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82211-4	Norovirus GI+II RNA Stl Ql Non-probe PCR	Norovirus genogroup I+II RNA [Presence] in Stool by Target amplification with non-probe based detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54906-3	Norovirus GII RNA Stl Ql PCR	Norovirus Genogroup II RNA [Presence] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90289-0	Norovirus GII RNA Vom Ql NAA+probe	Norovirus Genogroup II RNA [Presence] in Vomitus by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60427-2	Norovirus RNA Islt Ql PCR	Norovirus RNA [Presence] in Isolate by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7974-9	Norovirus RNA Stl Ql PCR	Norovirus RNA [Presence] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90287-4	Norovirus RNA Vom Ql NAA+probe	Norovirus RNA [Presence] in Vomitus by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56748-7	Norovirus RNA XXX Ql PCR	Norovirus RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41035-7	Norovirus RNA XXX Ql Prb	Norovirus RNA [Presence] in Unspecified specimen by DNA probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10696-3	Norovirus Stl EM	Norovirus [Identifier] in Stool by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7973-1	Norovirus Stl Ql EM	Norovirus [Presence] in Stool by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88701-8	NV G I & II RNA pnl Stl NAA+probe	Norovirus genogroups I and II RNA panel - Stool by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
