Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Parasite)	PHVS_LabTestName_Parasite	2.16.840.1.114222.4.11.4255	5	lab tests associated with Parasite
	Published	06/25/2015	RCMT v14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
14786-8	Deprecated Insect XXX	Deprecated Arthropod identified in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9785-7	Deprecated O and P Prep Stl	Deprecated Microscopic observation [Identifier] in Stool by Ova and Parasite Preparation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32357-6	Deprecated O+P Stl	Deprecated Microscopic observation [Identifier] in Stool by Ova & Parasite Preparation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41445-8	Deprecated O+P XXX	Deprecated Microscopic observation [Identifier] in Unspecified specimen by Ova & Parasite Preparation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32700-7	Malaria Smear Bld	Microscopic observation [Identifier] in Blood by Malaria smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6670-4	Malaria Smear Tiss	Microscopic observation [Identifier] in Tissue by Malaria smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
637-9	Malaria Thick Smear Bld	Microscopic observation [Identifier] in Blood by Malaria thick smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17280-9	Malaria Thick Smear Tiss	Microscopic observation [Identifier] in Tissue by Malaria thick smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33271-8	Malaria Thin Smear Bld	Microscopic observation [Identifier] in Blood by Malaria thin smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50625-3	O+P Bld/T Wright Stn	Ova and parasites identified in Blood or Tissue by Wright stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10855-5	O+P Duod or Gastric fl Micro	Ova and parasites identified in Duodenal fluid or Gastric fluid by Light microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18494-5	O+P sp2 Stl Conc	Ova and parasites identified in Stool by Concentration--2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13319-9	O+P sp2 Stl Micro	Ova and parasites identified in Stool by Light microscopy--2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18496-0	O+P sp2 Stl Tri Stn	Ova and parasites identified in Stool by Trichrome stain--2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52795-2	O+P sp2 XXX Micro	Ova and parasites identified in Unspecified specimen by Light microscopy--2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18493-7	O+P sp3 Stl Conc	Ova and parasites identified in Stool by Concentration--3rd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13320-7	O+P sp3 Stl Micro	Ova and parasites identified in Stool by Light microscopy--3rd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18495-2	O+P sp3 Stl Tri Stn	Ova and parasites identified in Stool by Trichrome stain--3rd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52794-5	O+P sp3 XXX Micro	Ova and parasites identified in Unspecified specimen by Light microscopy--3rd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20926-2	O+P Stl Baerman Conc	Ova and parasites identified in Stool by Baerman concentration		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
