Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Pertussis)	PHVS_LabTestName_Pertussis	2.16.840.1.114222.4.11.4184	12	lab tests associated with Pertussis
	Published	07/19/2018	RCMT v14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
85809-2	B per + parap + holm DNA Pnl XXX NAA+pr	Bordetella pertussis and parapertussis and holmesii DNA panel - Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85799-5	B per+bron+holm IS481 DNA Ct XXX NAA+pr	Bordetella pertussis+bronchiseptica+holmesii IS481 DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16474-9	B pert Ab Ser CF-aCnc	Bordetella pertussis Ab [Units/volume] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5059-1	B pert Ab Ser IA-aCnc	Bordetella pertussis Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31998-8	B pert Ab Ser Ql	Bordetella pertussis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11585-7	B pert Ab Ser-aCnc	Bordetella pertussis Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22116-8	B pert Ab Titr Ser	Bordetella pertussis Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6315-6	B pert Ab Titr Ser Aggl	Bordetella pertussis Ab [Titer] in Serum by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6316-4	B pert Ab Titr Ser CF	Bordetella pertussis Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22117-6	B pert Ab Titr XXX	Bordetella pertussis Ab [Titer] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6314-9	B pert Ab Titr XXX IF	Bordetella pertussis Ab [Titer] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20992-4	B pert Ab XXX Ql	Bordetella pertussis Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43381-3	B pert Ab XXX Ql IF	Bordetella pertussis Ab [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31266-0	B pert Ab XXX-aCnc	Bordetella pertussis Ab [Units/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43909-1	B pert Ag Nph Ql	Bordetella pertussis Ag [Presence] in Nasopharynx		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38198-8	B pert Ag Nph Ql IF	Bordetella pertussis Ag [Presence] in Nasopharynx by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43891-1	B pert Ag Spt Ql IF	Bordetella pertussis Ag [Presence] in Sputum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31737-0	B pert Ag XXX Ql	Bordetella pertussis Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
