Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Pesticide poisoning)	PHVS_LabTestName_PesticidePoisoning	2.16.840.1.114222.4.11.4245	8	lab tests associated with Pesticide poisoning
	Published	07/19/2018	RCMT v13.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
9681-8	1Naphthol SerPl-mCnc	1-Naphthol [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35480-3	1Naphthol Ur-mCnc	1-Naphthol [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13005-4	2,4,5T SerPl	2,4,5-Trichlorophenoxyacetate [Type] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38331-5	2,4,5T Wat-mCnc	2,4,5-Trichlorophenoxyacetate [Mass/volume] in Water		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11091-6	A-Chlordane SerPl-mCnc	Alpha chlordane [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80634-9	Aldicarb sulfone Ur-mCnc	Aldicarb sulfone [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80635-6	Aldicarb sulfoxide Ur-mCnc	Aldicarb sulfoxide [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80633-1	Aldicarb Ur-mCnc	Aldicarb [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38570-8	Azinphos-Mehyl Air-mCnc	Azinphos-methyl [Mass/volume] in Air		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43902-6	Azinphos-Mehyl Bld Ql	Azinphos-methyl [Presence] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23822-0	Azinphos-Mehyl Bld-mCnc	Azinphos-methyl [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43903-4	Azinphos-Mehyl SerPl Ql	Azinphos-methyl [Presence] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35490-2	Azinphos-Mehyl SerPl-mCnc	Azinphos-methyl [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43904-2	Azinphos-Mehyl Ur Ql	Azinphos-methyl [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21088-0	Azinphos-Mehyl Ur-mCnc	Azinphos-methyl [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9684-2	Bendiocarb SerPl-mCnc	Bendiocarb [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21107-8	Bendiocarb Ur-mCnc	Bendiocarb [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74111-6	Brodifacoum XXX Ql Scn	Brodifacoum [Presence] in Unspecified specimen by Screen method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74112-4	Bromadiolone XXX Ql Scn	Bromadiolone [Presence] in Unspecified specimen by Screen method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9789-9	Carbamate pesticides SerPl	Carbamate pesticides [Type] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16547-2	Carbamate pesticides Ur	Carbamate pesticides [Type] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
28047-9	Carbamate pesticides Ur-mCnc	Carbamate pesticides [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9688-3	Carbaryl SerPl-mCnc	Carbaryl [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21138-3	Carbaryl Ur-mCnc	Carbaryl [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9689-1	Carbofuran SerPl-mCnc	Carbofuran [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21139-1	Carbofuran Ur-mCnc	Carbofuran [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30024-4	Carbophenothion SerPl-mCnc	Carbophenothion [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21140-9	Carbophenothion Ur-mCnc	Carbophenothion [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9502-6	Carbophenothion XXX-mCnc	Carbophenothion [Mass/volume] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12993-2	Chlor HC Bld	Hydrocarbons.chlorinated [Identifier] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35489-4	Chlorpyrifos SerPl-mCnc	Chlorpyrifos [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16611-6	Chlorpyrifos Ur-mCnc	Chlorpyrifos [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2099-0	Cholinesterase RBC-cCnc	Cholinesterase [Enzymatic activity/volume] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49231-4	Cholinesterase RBC-cCnt	Cholinesterase [Enzymatic activity/mass] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34711-2	Cholinesterase SerPl Ql	Cholinesterase [Presence] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
2098-2	Cholinesterase SerPl-cCnc	Cholinesterase [Enzymatic activity/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74113-2	Coumafuryl XXX Ql Scn	Coumafuryl [Presence] in Unspecified specimen by Screen method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30025-1	Coumaphos SerPl-mCnc	Coumaphos [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21229-0	Coumaphos Ur-mCnc	Coumaphos [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74114-0	Coumatetralyl XXX Ql Scn	Coumatetralyl [Presence] in Unspecified specimen by Screen method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11093-2	DDE SerPl-mCnc	Dichlorodiphenyldichloroethylene [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87640-9	DDE XXX-mCnt	Dichlorodiphenyldichloroethylene [Mass/mass] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11094-0	DDT SerPl-mCnc	Dichlorodiphenyltrichloroethane [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87639-1	DDT XXX-mCnt	Dichlorodiphenyltrichloroethane [Mass/mass] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18433-3	Deprecated 1,3DCB Bld-mCnc	Deprecated 1,3-Dichlorobenzene [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16767-6	Deprecated 2,4D Ur-mCnc	Deprecated 2,4-Dichlorophenoxyacetate [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5613-5	Deprecated Carbon diS Bld Ql	Deprecated Carbon disulfide		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9509-1	Deprecated Cholinesterase Ser-cCnc	Deprecated Cholinesterase [Enzymatic activity/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38340-6	Deprecated DDT Wat-mCnc	Deprecated Dichlorodiphenyltrichloroethane		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20834-8	Deprecated Herbicide XXX	Deprecated Herbicide [Identifier] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17077-9	Deprecated Lindane Bld-mCnc	Deprecated Lindane [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5712-5	Deprecated Pentachlorophen Ur-mCnc	Deprecated Pentachlorophenol [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5638-2	Diazinon Bld-mCnc	Diazinon [Mass/volume] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35488-6	Diazinon SerPl-mCnc	Diazinon [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35479-5	Diazinon Ur-mCnc	Diazinon [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
