Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Plague)	PHVS_LabTestName_Plague	2.16.840.1.114222.4.11.4185	2	lab tests associated with Plague
	Published	06/09/2017	Value set updated based on RCMT v12 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
33706-3	Y pestis Ab Ser Ql	Yersinia pestis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33689-1	Y pestis Ab Ser Ql HAI	Yersinia pestis Ab [Presence] in Serum by Hemagglutination inhibition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33707-1	Y pestis Ab Titr Ser	Yersinia pestis Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33690-9	Y pestis Ab Titr Ser IA	Yersinia pestis Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47518-6	Y pestis Ab XXX Ql	Yersinia pestis Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45045-2	Y pestis Ab XXX Ql HA	Yersinia pestis Ab [Presence] in Unspecified specimen by Hemagglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33688-3	Y pestis Ag Islt Ql IF	Yersinia pestis Ag [Presence] in Isolate by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33687-5	Y pestis Ag XXX Ql IF	Yersinia pestis Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33692-5	Y pestis DNA Islt Ql PCR	Yersinia pestis DNA [Presence] in Isolate by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33691-7	Y pestis DNA XXX Ql PCR	Yersinia pestis DNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33686-7	Y pestis Islt Ql Cult	Yersinia pestis [Presence] in Isolate by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33693-3	Y pestis Islt Ql Phage Lys	Yersinia pestis [Presence] in Isolate by Phage lysis		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33685-9	Y pestis XXX Ql Cult	Yersinia pestis [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
