Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Polio)	PHVS_LabTestName_Polio	2.16.840.1.114222.4.11.4186	3	lab tests associated with Polio
	Published	06/14/2011	v3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
40709-8	PV Ab CSF-aCnc	Polio virus Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
68320-1	PV Ab Pnl Titr Ser	Polio virus Ab panel [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41506-7	PV Ab Pnl Titr Ser Nt	Polio virus Ab panel [Titer] in Serum by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16284-2	PV Ab Ser-aCnc	Polio virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42980-3	PV Ab Titr Ser	Polio virus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27261-7	PV Ab Titr Ser CF	Polio virus Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40783-3	PV IgG sp2 Titr CSF	Polio virus IgG Ab [Titer] in Cerebral spinal fluid --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40708-0	PV IgG sp2 Titr Ser	Polio virus IgG Ab [Titer] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40782-5	PV IgM sp1 Titr CSF	Polio virus IgM Ab [Titer] in Cerebral spinal fluid --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40781-7	PV IgM sp1 Titr Ser	Polio virus IgM Ab [Titer] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60546-9	PV Islt Cult	Polio virus identified [Type] in Isolate by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53645-8	PV Stl Cult	Polio virus identified in Stool by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
73907-8	PV XXX Cult	Polio virus identified in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31564-8	PV1 Ab CSF-aCnc	Polio virus 1 Ab [Units/volume] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31565-5	PV1 Ab Fld-aCnc	Polio virus 1 Ab [Units/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30546-6	PV1 Ab Ser Ql	Polio virus 1 Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7985-5	PV1 Ab Ser-aCnc	Polio virus 1 Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
