Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Prion Disease)	PHVS_LabTestName_PrionDisease	2.16.840.1.114222.4.11.4188	2	lab tests associated with Prion Disease
	Published	06/14/2011	v2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
37425-6	Abn Prion Prot Brain Ql EIA	Abnormal Prion Protein [Presence] in Brain by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23381-7	Abn Prion Prot Brain Ql EM	Abnormal Prion Protein [Presence] in Brain by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23379-1	Abn Prion Prot Brain Ql IB	Abnormal Prion Protein [Presence] in Brain by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23380-9	Abn Prion Prot Brain Ql ImStn	Abnormal Prion Protein [Presence] in Brain by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74036-5	Abn Prion Prot Tiss IB	Abnormal Prion Protein [Identifier] in Tissue by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74035-7	Abn Prion Prot Tiss ImStn	Abnormal Prion Protein [Identifier] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39021-1	Abn Prion Prot Tiss Ql EIA	Abnormal Prion Protein [Presence] in Tissue by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39320-7	Abn Prion Prot Tiss Ql IB	Abnormal Prion Protein [Presence] in Tissue by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39020-3	Abn Prion Prot Tiss Ql ImStn	Abnormal Prion Protein [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74037-3	TSE Brain Micro	Transmissible spongiform encephalopathy [Identifier] in Brain by Light microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38275-4	TSE Brain Ql Micro	Transmissible spongiform encephalopathy [Presence] in Brain by Light microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
