Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Psittacosis)	PHVS_LabTestName_Psittacosis	2.16.840.1.114222.4.11.4189	2	lab tests associated with Psittacosis
	Published	04/13/2018	RCMT V13

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
22175-4	C psittaci Ab Ser Ql	Chlamydophila psittaci Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22994-8	C psittaci Ab Ser Ql Aggl	Chlamydophila psittaci Ab [Presence] in Serum by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20754-8	C psittaci Ab Ser Ql CF	Chlamydophila psittaci Ab [Presence] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22996-3	C psittaci Ab Ser Ql IA	Chlamydophila psittaci Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22995-5	C psittaci Ab Ser Ql ID	Chlamydophila psittaci Ab [Presence] in Serum by Immune diffusion (ID)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7822-0	C psittaci Ab Ser-aCnc	Chlamydophila psittaci Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22176-2	C psittaci Ab Titr Ser	Chlamydophila psittaci Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5079-9	C psittaci Ab Titr Ser CF	Chlamydophila psittaci Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14198-6	C psittaci Ab Titr Ser IF	Chlamydophila psittaci Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23000-3	C psittaci Ag Exudate Ql ImStn	Chlamydophila psittaci Ag [Presence] in Exudate by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31779-2	C psittaci Ag Genital Ql	Chlamydophila psittaci Ag [Presence] in Genital specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
