Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Rabies)	PHVS_LabTestName_Rabies	2.16.840.1.114222.4.11.4191	7	lab tests associated with Rabies
	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
6531-8	Deprecated RABV Ag Tiss IF-aCnc	Deprecated Rabies virus Ag [Units/volume] in Tissue by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6530-0	Deprecated RABV Ag Tiss IF-aCnc	Deprecated Rabies virus Ag [Units/volume] in Tissue by Immunofluorescence.		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6534-2	Deprecated RABV Ag XXX IF-aCnc	Deprecated Rabies virus Ag [Units/volume] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6535-9	Deprecated RABV Ag XXX IF-aCnc	Deprecated Rabies virus Ag [Units/volume] in Unspecified specimen by Immunofluorescence.		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23393-2	Deprecated RABV DNA XXX Ql PCR	Deprecated Rabies virus DNA by amplified target		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23392-4	Deprecated RABV DNA XXX Ql Prb	Deprecated Rabies virus DNA by probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6537-5	Deprecated RABV Tiss Cult	Deprecated Rabies virus strain identified in Tissue by Organism specific culture.		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6538-3	Deprecated RABV Tiss Cult	Deprecated Rabies virus strain identified in Tissue by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6540-9	Deprecated RABV XXX Cult	Deprecated Rabies virus strain identified in Unspecified specimen by Organism specific culture.		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6541-7	Deprecated RABV XXX Cult	Deprecated Rabies virus strain identified in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
70856-0	RABV Ab CSF IA-aCnc	Rabies virus Ab [Units/volume] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6523-5	RABV Ab CSF Nt-aCnc	Rabies virus Ab [Units/volume] in Cerebral spinal fluid by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
