Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Reportable Conditions)	PHVS_LabTestName_ReportableConditions	2.16.840.1.114222.4.11.6053	13	All Reportable Condition Mappping Tables (RCMT) value sets for test names were consolidated into 1 value set.	Published	06/19/2017	Updated based on RCMT v12.1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
9681-8	1Naphthol SerPl-mCnc	1-Naphthol [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
35480-3	1Naphthol Ur-mCnc	1-Naphthol [Mass/volume] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13005-4	2,4,5T SerPl	2,4,5-Trichlorophenoxyacetate [Type] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38331-5	2,4,5T Wat-mCnc	2,4,5-Trichlorophenoxyacetate [Mass/volume] in Water		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
77165-9	A phagocyt & E chaff Ab.IgG Pnl Titr Ser	Anaplasma phagocytophilum and Ehrlichia chaffeensis IgG panel [Titer] - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43992-7	A phagocytoph Ab Ser IF-Imp	Anaplasma phagocytophilum Ab [interpretation] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7877-4	A phagocytoph Ab Ser Ql	Anaplasma phagocytophilum Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6403-0	A phagocytoph Ab Ser Ql EIA	Anaplasma phagocytophilum Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31363-5	A phagocytoph Ab Ser-aCnc	Anaplasma phagocytophilum Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33609-9	A phagocytoph Ab Titr Ser	Anaplasma phagocytophilum Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30338-8	A phagocytoph Ab Titr Ser IF	Anaplasma phagocytophilum Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54034-4	A phagocytoph Ag Tiss Ql ImStn	Anaplasma phagocytophilum Ag [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30039-2	A phagocytoph DNA Bld Ql PCR	Anaplasma phagocytophilum DNA [Presence] in Blood by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29560-0	A phagocytoph DNA XXX Ql PCR	Anaplasma phagocytophilum DNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29844-8	A phagocytoph IgG CSF Ql	Anaplasma phagocytophilum IgG Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29806-7	A phagocytoph IgG CSF Ql IB	Anaplasma phagocytophilum IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29856-2	A phagocytoph IgG Ser Ql	Anaplasma phagocytophilum IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29819-0	A phagocytoph IgG Ser Ql IB	Anaplasma phagocytophilum IgG Ab [Presence] in Serum by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16808-8	A phagocytoph IgG Ser-aCnc	Anaplasma phagocytophilum IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49213-2	A phagocytoph IgG Titr Fld	Anaplasma phagocytophilum IgG Ab [Titer] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48877-5	A phagocytoph IgG Titr Fld IF	Anaplasma phagocytophilum IgG Ab [Titer] in Body fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32691-8	A phagocytoph IgG Titr Ser	Anaplasma phagocytophilum IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23877-4	A phagocytoph IgG Titr Ser IF	Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29832-3	A phagocytoph IgG XXX Ql	Anaplasma phagocytophilum IgG Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29793-7	A phagocytoph IgG XXX Ql IB	Anaplasma phagocytophilum IgG Ab [Presence] in Unspecified specimen by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55150-7	A phagocytoph IgG+IgM Pnl Ser	Anaplasma phagocytophilum IgG and IgM panel - Serum Qualitative		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29845-5	A phagocytoph IgM CSF Ql	Anaplasma phagocytophilum IgM Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29807-5	A phagocytoph IgM CSF Ql IB	Anaplasma phagocytophilum IgM Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29857-0	A phagocytoph IgM Ser Ql	Anaplasma phagocytophilum IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29820-8	A phagocytoph IgM Ser Ql IB	Anaplasma phagocytophilum IgM Ab [Presence] in Serum by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16809-6	A phagocytoph IgM Ser-aCnc	Anaplasma phagocytophilum IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49214-0	A phagocytoph IgM Titr Fld	Anaplasma phagocytophilum IgM Ab [Titer] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48876-7	A phagocytoph IgM Titr Fld IF	Anaplasma phagocytophilum IgM Ab [Titer] in Body fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32692-6	A phagocytoph IgM Titr Ser	Anaplasma phagocytophilum IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23878-2	A phagocytoph IgM Titr Ser IF	Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29833-1	A phagocytoph IgM XXX Ql	Anaplasma phagocytophilum IgM Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29794-5	A phagocytoph IgM XXX Ql IB	Anaplasma phagocytophilum IgM Ab [Presence] in Unspecified specimen by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48872-6	A phagocytoph XXX Ql Cult	Anaplasma phagocytophilum [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
37425-6	Abn Prion Prot Brain Ql EIA	Abnormal Prion Protein [Presence] in Brain by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23381-7	Abn Prion Prot Brain Ql EM	Abnormal Prion Protein [Presence] in Brain by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23379-1	Abn Prion Prot Brain Ql IB	Abnormal Prion Protein [Presence] in Brain by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23380-9	Abn Prion Prot Brain Ql ImStn	Abnormal Prion Protein [Presence] in Brain by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74036-5	Abn Prion Prot Tiss IB	Abnormal Prion Protein [Identifier] in Tissue by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74035-7	Abn Prion Prot Tiss ImStn	Abnormal Prion Protein [Identifier] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39021-1	Abn Prion Prot Tiss Ql EIA	Abnormal Prion Protein [Presence] in Tissue by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39320-7	Abn Prion Prot Tiss Ql IB	Abnormal Prion Protein [Presence] in Tissue by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
39020-3	Abn Prion Prot Tiss Ql ImStn	Abnormal Prion Protein [Presence] in Tissue by Immune stain		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11091-6	A-Chlordane SerPl-mCnc	Alpha chlordane [Mass/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
