Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Respiratory Syncytial Virus)	PHVS_LabTestName_RespiratorySyncytialVirus	2.16.840.1.114222.4.11.4193	12	lab tests associated with Respiratory Syncytial Virus
	Published	07/19/2018	RCMT v14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
41456-5	Deprecated RSV Gentyp XXX PCR	Deprecated Respiratory syncytial virus RNA [Identifier] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80597-8	RSV A 5' UTR RNA Nph Ql NAA+probe	Respiratory syncytial virus A 5' UTR RNA [Presence] in Nasopharynx by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88204-3	RSV A RNA Corn/Cnjt Ql NAA+probe	Respiratory syncytial virus A RNA [Presence] in Cornea or Conjunctiva by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88595-4	RSV A RNA Lower Resp Ql NAA+probe	Respiratory syncytial virus A RNA [Presence] in Lower respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
77022-2	RSV A RNA Nph Ql NAA+probe	Respiratory syncytial virus A RNA [Presence] in Nasopharynx by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91795-5	RSV A RNA Up resp Ql NAA+probe	Respiratory syncytial virus A RNA [Presence] in Upper respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30075-6	RSV A RNA XXX Ql NAA+probe	Respiratory syncytial virus A RNA [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52975-0	RSV Ab Ser CF-aCnc	Respiratory syncytial virus Ab [Units/volume] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33390-6	RSV Ab Ser Ql	Respiratory syncytial virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7990-5	RSV Ab Ser-aCnc	Respiratory syncytial virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30147-3	RSV Ab sp1 Ser Ql	Respiratory syncytial virus Ab [Presence] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24298-2	RSV Ab sp1 Titr Ser	Respiratory syncytial virus Ab [Titer] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24224-8	RSV Ab sp1 Titr Ser CF	Respiratory syncytial virus Ab [Titer] in Serum by Complement fixation --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30148-1	RSV Ab sp2 Ser Ql	Respiratory syncytial virus Ab [Presence] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24299-0	RSV Ab sp2 Titr Ser	Respiratory syncytial virus Ab [Titer] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24225-5	RSV Ab sp2 Titr Ser CF	Respiratory syncytial virus Ab [Titer] in Serum by Complement fixation --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33382-3	RSV Ab Titr CSF	Respiratory syncytial virus Ab [Titer] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22466-7	RSV Ab Titr Ser	Respiratory syncytial virus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5294-4	RSV Ab Titr Ser CF	Respiratory syncytial virus Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5295-1	RSV Ab Titr Ser IF	Respiratory syncytial virus Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
77389-5	RSV Ag BAL Ql IF	Respiratory syncytial virus Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88909-7	RSV Ag Lower Resp Ql IF	Respiratory syncytial virus Ag [Presence] in Lower respiratory specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33045-6	RSV Ag Nose Ql	Respiratory syncytial virus Ag [Presence] in Nose		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32040-8	RSV Ag Nose Ql IF	Respiratory syncytial virus Ag [Presence] in Nose by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
68966-1	RSV Ag Nph Ql IA	Respiratory syncytial virus Ag [Presence] in Nasopharynx by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72885-7	RSV Ag Nph Ql IA.rapid	Respiratory syncytial virus Ag [Presence] in Nasopharynx by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
77390-3	RSV Ag Nph Ql IF	Respiratory syncytial virus Ag [Presence] in Nasopharynx by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31949-1	RSV Ag Throat Ql	Respiratory syncytial virus Ag [Presence] in Throat		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
