Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (SARS)	PHVS_LabTestName_SARS	2.16.840.1.114222.4.11.4199	2	lab tests associated with SARS
	Published	06/14/2011	Initial Import for : 215D373E-E396-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
60426-4	SARS-CoV Ab Titr Ser	SARS coronavirus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42957-1	SARS-CoV IgG Ser Ql	SARS coronavirus IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41460-7	SARS-CoV IgG Ser Ql EIA	SARS coronavirus IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42956-3	SARS-CoV IgM Ser Ql	SARS coronavirus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41991-1	SARS-CoV IgM Ser Ql EIA	SARS coronavirus IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60275-5	SARS-CoV RNA Islt Ql PCR	SARS coronavirus RNA [Presence] in Isolate by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60534-5	SARS-CoV RNA SerPl Ql PCR	SARS coronavirus RNA [Presence] in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41458-1	SARS-CoV RNA XXX Ql PCR	SARS coronavirus RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33969-7	SARS-CoV Urb Ab Ser EIA-aCnc	SARS coronavirus Urbani Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33972-1	SARS-CoV Urb Ab Ser Ql	SARS coronavirus Urbani Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33968-9	SARS-CoV Urb Ab Ser Ql EIA	SARS coronavirus Urbani Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33970-5	SARS-CoV Urb Ab Ser Ql IF	SARS coronavirus Urbani Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33973-9	SARS-CoV Urb Ab Ser-aCnc	SARS coronavirus Urbani Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33974-7	SARS-CoV Urb Ab Titr Ser	SARS coronavirus Urbani Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33971-3	SARS-CoV Urb Ab Titr Ser IF	SARS coronavirus Urbani Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33966-3	SARS-CoV Urb RNA Nose Ql PCR	SARS coronavirus Urbani RNA [Presence] in Nose by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33967-1	SARS-CoV Urb RNA SerPl Ql PCR	SARS coronavirus Urbani RNA [Presence] in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33975-4	SARS-CoV Urb RNA Spt Ql PCR	SARS coronavirus Urbani RNA [Presence] in Sputum by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33965-5	SARS-CoV Urb RNA Stl Ql PCR	SARS coronavirus Urbani RNA [Presence] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33964-8	SARS-CoV Urb RNA XXX Ql PCR	SARS coronavirus Urbani RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41459-9	SARS-CoV XXX Ql	SARS coronavirus [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
